book_index,similarity_score,title,author,rating,no_of_ratings,no_of_reviews,genres
7040.0,0.654,Her Fearful Symmetry,Audrey Niffenegger,3.26,93303.0,12739.0,"Fiction, Fantasy, Paranormal, Mystery, Contemporary, Ghosts, Magical Realism"
6901.0,0.606,Defending Jacob,William Landay,3.99,292191.0,23146.0,"Fiction, Mystery, Thriller, Crime, Mystery Thriller, Suspense, Audiobook"
9303.0,0.545,On the Genealogy of Morals,Friedrich Nietzsche,4.13,26757.0,1171.0,"Philosophy, Nonfiction, Classics, Psychology, German Literature, Religion, History"
11411.0,0.541,Traces of My Love: The Secrets of Heart,C.L Ross,4.97,36.0,6.0,
8882.0,0.517,Children of the Moon,Evadeen Brickwood,4.83,6.0,3.0,
6905.0,0.515,Mystic River,Dennis Lehane,4.16,141330.0,4620.0,"Mystery, Fiction, Thriller, Crime, Mystery Thriller, Suspense, Audiobook"
73.0,0.513,A Promised Land,Barack Obama,4.34,207394.0,19085.0,"Nonfiction, Biography, Memoir, Politics, Audiobook, History, Autobiography"
8451.0,0.512,Undaunted: My Struggle for Freedom and Survival in Burma,Zoya Phan,4.01,618.0,82.0,"Nonfiction, Asia, Biography, Memoir, History, War, Autobiography"
11674.0,0.479,The Moviegoer,Walker Percy,3.65,27942.0,2392.0,"Fiction, Classics, Literature, Novels, Southern, American, Literary Fiction"
7766.0,0.478,Tender Is the Night,F. Scott Fitzgerald,3.79,131685.0,6418.0,"Classics, Fiction, Literature, Romance, American, Novels, 20th Century"
9448.0,0.477,Take This Regret,Amy Lichtenhan,4.01,24595.0,1793.0,"Romance, Contemporary Romance, Contemporary, New Adult, Adult, Chick Lit, Drama"
9106.0,0.475,Parched,Melanie  Crowder,3.9,320.0,105.0,"Middle Grade, Survival, Realistic Fiction, Dystopia, Young Adult, Adventure, Fiction"
6936.0,0.468,Where There's Smoke,Kirsten Fullmer,4.3,3822.0,50.0,"Fiction, Cozy Mystery, Mystery, Romance, Contemporary"
7015.0,0.468,"Tinker, Tailor, Soldier, Spy",John le CarrÃÂ©,4.05,90746.0,5156.0,"Fiction, Mystery, Thriller, Espionage, Classics, Mystery Thriller, Crime"
8027.0,0.467,White Fire,Douglas Preston,4.11,25909.0,2313.0,"Mystery, Thriller, Fiction, Suspense, Crime, Mystery Thriller, Audiobook"
10165.0,0.465,Empty Places: A Performance,Laurie  Anderson,4.26,27.0,2.0,"Art, Music, Poetry"
8489.0,0.464,Outside,Shalini Boland,3.41,2818.0,264.0,"Dystopia, Young Adult, Post Apocalyptic, Science Fiction, Fiction, Romance, Mystery"
456.0,0.463,The Road to Little Dribbling: Adventures of an American in Britain,Bill Bryson,3.71,35310.0,4694.0,"Travel, Nonfiction, Humor, Memoir, Audiobook, British Literature, History"
9258.0,0.463,Seven Years in Tibet,Heinrich Harrer,4.09,23611.0,1347.0,"Nonfiction, Travel, History, Biography, Memoir, Adventure, Asia"
12211.0,0.459,Clockwork Angel,Cassandra Clare,4.31,805356.0,40561.0,"Fantasy, Young Adult, Romance, Paranormal, Steampunk, Historical Fiction, Fiction"
303.0,0.458,Never Too Far,Abbi Glines,4.17,120317.0,6302.0,"Romance, New Adult, Contemporary, Contemporary Romance, Young Adult, Chick Lit, Adult"
1783.0,0.458,Breath: The New Science of a Lost Art,James Nestor,4.15,69312.0,7071.0,"Nonfiction, Health, Science, Self Help, Audiobook, Psychology, Personal Development"
13245.0,0.456,Shhh...It's a Secret-The Power of Deliverance,Yolanda Lewis,4.75,4.0,0.0,
1043.0,0.454,Beautiful Boy: A Father's Journey Through His Son's Addiction,David Sheff,4.14,83365.0,7520.0,"Nonfiction, Memoir, Biography, Audiobook, Mental Health, Biography Memoir, Psychology"
4161.0,0.45,Jimmy,Cat Johnson,3.88,1208.0,77.0,"Military Fiction, Romance, Contemporary, Contemporary Romance, Erotica, Military Romance, Novella"
4643.0,0.447,Bending the Rules,Mariah Dietz,4.01,4168.0,292.0,"Romance, Sports, Sports Romance, College, New Adult, Contemporary, Football"
8285.0,0.447,The True Story of the 3 Little Pigs,Jon Scieszka,4.31,188511.0,3905.0,"Picture Books, Childrens, Fiction, Humor, Animals, Fantasy, Fairy Tales"
1025.0,0.447,Shadow Puppets,Orson Scott Card,3.9,58286.0,1213.0,"Science Fiction, Fiction, Science Fiction Fantasy, Fantasy, Young Adult, Audiobook, Space"
8452.0,0.442,"Rockettes, Rockstars and Rockbottom",Keltie Colleen,3.88,339.0,50.0,"Nonfiction, Memoir, Music, Biography, Chick Lit"
7295.0,0.439,The Master Butchers Singing Club,Louise Erdrich,4.06,24488.0,2097.0,"Fiction, Historical Fiction, Historical, Literary Fiction, Book Club, War, Novels"
8718.0,0.439,Naked Teaching: A Love Story,Shirley  Willis,4.67,6.0,3.0,
5927.0,0.438,The Last of the Firedrakes,Farah Oomerbhoy,3.88,3290.0,656.0,"Fantasy, Young Adult, Romance, Magic, Adventure, Fae, High Fantasy"
13190.0,0.437,The Nazi Doctors: Medical Killing and the Psychology of Genocide,Robert Jay Lifton,4.11,3477.0,131.0,"History, Nonfiction, Psychology, Holocaust, World War II, War, Medicine"
13156.0,0.436,The Collected Poems of Alberto Caeiro,Fernando Pessoa,4.41,2640.0,146.0,"Poetry, Classics, Portugal, Portuguese Literature, Literature, 20th Century, Fiction"
8134.0,0.433,Lord Edgware Dies,Agatha Christie,3.94,46368.0,2960.0,"Mystery, Fiction, Crime, Classics, Mystery Thriller, Detective, Audiobook"
2021.0,0.433,Cryptonomicon,Neal Stephenson,4.24,109864.0,5896.0,"Fiction, Science Fiction, Historical Fiction, Cyberpunk, Thriller, Historical, War"
10146.0,0.433,Liar,Justine Larbalestier,3.28,8767.0,1667.0,"Young Adult, Fantasy, Fiction, Mystery, Paranormal, Contemporary, Teen"
8814.0,0.43,Always Looking Up: The Adventures of an Incurable Optimist,Michael J. Fox,3.81,24185.0,1641.0,"Nonfiction, Biography, Memoir, Autobiography, Biography Memoir, Inspirational, Audiobook"
12451.0,0.429,"""A Problem from Hell"": America and the Age of Genocide",Samantha Power,4.25,10195.0,647.0,"Nonfiction, History, Politics, War, Africa, American History, International Relations"
8233.0,0.428,Clouds of Witness,Dorothy L. Sayers,3.99,21822.0,1509.0,"Mystery, Fiction, Crime, Classics, British Literature, Mystery Thriller, Historical Fiction"
8324.0,0.427,Peer Gynt,Henrik Ibsen,3.71,8159.0,370.0,"Plays, Classics, Drama, Fiction, Poetry, Theatre, 19th Century"
4375.0,0.427,Live for You,Marquita Valentine,3.9,2297.0,171.0,"Romance, Contemporary, Music, New Adult, Amazon, Musicians, Adult"
9260.0,0.427,The Gene: An Intimate History,Siddhartha Mukherjee,4.36,46485.0,4294.0,"Science, Nonfiction, History, Biology, Medicine, Genetics, Health"
1784.0,0.424,How the King of Elfhame Learned to Hate Stories,Holly Black,4.21,155689.0,18197.0,"Fantasy, Young Adult, Romance, Fae, Young Adult Fantasy, Short Stories, Fiction"
1920.0,0.422,The Crow Road,Iain Banks,4.08,21836.0,947.0,"Fiction, Mystery, Contemporary, Scotland, Thriller, Novels, Crime"
609.0,0.422,Hunted,Sophie  Davis,4.35,2206.0,150.0,"Young Adult, Paranormal, Dystopia, Romance, Fantasy, Paranormal Romance, Science Fiction"
813.0,0.422,A Knight of the Seven Kingdoms,George R.R. Martin,4.22,83503.0,5934.0,"Fantasy, Fiction, Short Stories, Audiobook, Adventure, High Fantasy, Epic Fantasy"
12869.0,0.42,Squire,Tamora Pierce,4.29,52045.0,998.0,"Fantasy, Young Adult, Fiction, Young Adult Fantasy, Magic, Adventure, High Fantasy"
6978.0,0.42,Flags of Our Fathers,James D. Bradley,4.21,59204.0,1787.0,"History, Nonfiction, Military Fiction, War, World War II, Biography, Military History"
1069.0,0.42,The Sandman Vol. 1: Preludes & Nocturnes,Neil Gaiman,4.25,259300.0,9120.0,"Graphic Novels, Comics, Fantasy, Fiction, Horror, Graphic Novels Comics, Comic Book"
7726.0,0.414,The Birth House,Ami McKay,4.03,43045.0,2970.0,"Historical Fiction, Fiction, Canada, Historical, Book Club, Adult Fiction, Feminism"
285.0,0.413,Meditations,Marcus Aurelius,4.27,213350.0,11998.0,"Philosophy, Nonfiction, Classics, History, Self Help, Psychology, Personal Development"
8653.0,0.412,The Vagabond Vicar,Charlotte Brentwood,3.96,213.0,48.0,"Romance, Historical Fiction, Regency, Historical Romance, Historical, Clean Romance, Fiction"
8508.0,0.412,To My Senses,Alexandrea Weis,4.01,79.0,22.0,"Romance, Romantic Suspense, Contemporary Romance, Contemporary, Suspense, Fiction"
4716.0,0.411,The Goose Girl,Shannon Hale,4.13,141640.0,10798.0,"Fantasy, Young Adult, Romance, Fairy Tales, Fiction, Retellings, Middle Grade"
7581.0,0.409,The True Confessions of Charlotte Doyle,Avi,3.85,84407.0,3741.0,"Historical Fiction, Young Adult, Fiction, Middle Grade, Adventure, Historical, Childrens"
8685.0,0.409,Songs of My Selfie: An Anthology of Millennial Stories,Constance Renfrow,3.83,99.0,21.0,"Short Stories, Nonfiction, Short Story Collection, Anthologies"
247.0,0.408,Is Everyone Hanging Out Without Me?,Mindy Kaling,3.86,484074.0,23992.0,"Nonfiction, Memoir, Humor, Audiobook, Biography, Comedy, Biography Memoir"
11518.0,0.406,House of Earth and Blood,Sarah J. Maas,4.48,436315.0,50296.0,"Fantasy, Romance, Fiction, Urban Fantasy, Adult, Fae, New Adult"
11901.0,0.406,Helen,Euripides,3.79,2009.0,181.0,"Plays, Classics, Drama, Mythology, Theatre, Fiction, Greece"
102.0,0.405,"Penis Politics: A Memoir of Women, Men and Power",Karen  Hinton,4.29,778.0,19.0,"Nonfiction, Politics"
1200.0,0.404,Blood Will Tell,Dana Stabenow,4.13,6319.0,199.0,"Mystery, Fiction, Crime, Thriller, Mystery Thriller, Suspense, Detective"
9225.0,0.404,The Life and Rhymes of Benjamin Zephaniah: The Autobiography,Benjamin Zephaniah,4.28,952.0,124.0,"Nonfiction, Biography, Poetry, Memoir, Autobiography, Audiobook, Race"
13309.0,0.402,,,,,,
11502.0,0.398,"Yes, That's What They Call Me, Nobody",Dhananjay Singh,4.5,34.0,19.0,
7336.0,0.397,The Grand Design,Stephen Hawking,4.06,72304.0,2995.0,"Science, Nonfiction, Physics, Philosophy, Astronomy, Popular Science, Audiobook"
13144.0,0.396,VALIS,Philip K. Dick,3.92,28799.0,1959.0,"Science Fiction, Fiction, Philosophy, Religion, Science Fiction Fantasy, Novels, Fantasy"
8991.0,0.396,The Writing on My Forehead,Nafisa Haji,3.87,2450.0,324.0,"Fiction, Pakistan, India, Cultural, Literary Fiction, Asia, Travel"
13230.0,0.395,Miss Garnet's Angel,Salley Vickers,3.71,3706.0,453.0,"Fiction, Italy, Contemporary, Historical Fiction, Travel, Novels, Literary Fiction"
6949.0,0.395,Mort,Terry Pratchett,4.24,235006.0,7427.0,"Fantasy, Fiction, Humor, Comedy, Science Fiction Fantasy, Audiobook, Novels"
7465.0,0.394,Postmortem,Patricia Cornwell,4.03,236969.0,3805.0,"Mystery, Crime, Fiction, Thriller, Mystery Thriller, Suspense, Murder Mystery"
11089.0,0.393,Naked Empire,Terry Goodkind,3.82,53132.0,725.0,"Fantasy, Fiction, Epic Fantasy, Science Fiction Fantasy, High Fantasy, Magic, Adventure"
808.0,0.393,All My Sons,Arthur  Miller,3.9,26913.0,1052.0,"Plays, Classics, Drama, Fiction, Theatre, School, 20th Century"
8419.0,0.393,My American Journey,Colin Powell,4.07,6640.0,317.0,"Biography, Nonfiction, Politics, History, Military Fiction, Autobiography, Memoir"
9523.0,0.393,Isaac Newton,James Gleick,3.78,8929.0,473.0,"Biography, Science, Nonfiction, History, Physics, Biography Memoir, Mathematics"
7940.0,0.391,Morium,S.J. Hermann,4.34,94.0,52.0,"Paranormal, Fiction"
12365.0,0.391,Master of the Game,Sidney Sheldon,4.14,56058.0,2104.0,"Fiction, Thriller, Mystery, Suspense, Mystery Thriller, Romance, Drama"
6921.0,0.391,The Song of Achilles,Madeline Miller,4.35,1264492.0,138591.0,"Fantasy, Historical Fiction, Fiction, Mythology, Romance, LGBT, Historical"
7738.0,0.39,Tau Zero,Poul Anderson,3.84,14021.0,919.0,"Science Fiction, Fiction, Space Opera, Space, Time Travel, Science Fiction Fantasy, Hard Science Fiction"
8760.0,0.39,Mukher Arale Mukhosh,Sarasij Sengupta,3.0,2.0,0.0,
13197.0,0.39,Barking Up the Wrong Tree: The Surprising Science Behind Why Everything You Know About Success Is (Mostly) Wrong,Eric Barker,4.11,15483.0,1409.0,"Nonfiction, Self Help, Psychology, Business, Personal Development, Science, Productivity"
11002.0,0.389,The Brutal Telling,Louise Penny,4.23,76617.0,6085.0,"Mystery, Fiction, Audiobook, Crime, Canada, Mystery Thriller, Adult"
13060.0,0.389,The Gods of Mars,Edgar Rice Burroughs,3.88,18754.0,1017.0,"Science Fiction, Fantasy, Fiction, Classics, Adventure, Pulp, Science Fiction Fantasy"
281.0,0.387,The Beauty Myth,Naomi Wolf,3.91,27556.0,1908.0,"Feminism, Nonfiction, Sociology, Psychology, Womens, Gender, Gender Studies"
8693.0,0.387,And After the Fire,Lauren Belfer,3.92,5047.0,618.0,"Historical Fiction, Fiction, Music, Historical, Holocaust, World War II, Jewish"
