book_index,similarity_score,title,author,rating,no_of_ratings,no_of_reviews,genres
9389.0,0.24,Mastering Real Estate Valuation,Syamales Datta,4.5,6.0,1.0,
7524.0,0.23,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Brian Greene,4.09,95871.0,2218.0,"Science, Nonfiction, Physics, Astronomy, Popular Science, Space, Philosophy"
12031.0,0.229,Drinking Games,Sarah   Levy,3.81,3468.0,554.0,"Memoir, Nonfiction, Audiobook, Mental Health, Biography Memoir, Self Help, Autobiography"
9640.0,0.229,The Way Back to Florence,Glenn Haybittle,4.19,381.0,85.0,"Historical Fiction, Italy, World War II, War, Historical, Holocaust, Fiction"
5665.0,0.215,Spotless,Camilla Monk,4.01,4048.0,601.0,"Romance, Mystery, Contemporary, Contemporary Romance, Humor, Romantic Suspense, Suspense"
12327.0,0.211,PÃÂ¨re Goriot,HonorÃÂ© de Balzac,3.85,56390.0,2665.0,"Classics, Fiction, France, French Literature, Literature, 19th Century, Novels"
36.0,0.211,The Mosquito Bowl: A Game of Life and Death in World War II,Buzz Bissinger,3.84,2392.0,317.0,"Nonfiction, History, Sports, World War II, War, Military Fiction, Football"
11720.0,0.203,Things We Never Got Over,Lucy Score,4.21,519113.0,41983.0,"Contemporary, Contemporary Romance, Fiction, Adult, Chick Lit, New Adult, Audiobook"
9846.0,0.201,Chicka Chicka Boom Boom,Bill Martin Jr.,4.25,159173.0,4958.0,"Picture Books, Childrens, Fiction, Poetry, Classics, Storytime, Kids"
6864.0,0.199,Lunar Park,Bret Easton Ellis,3.64,28017.0,1220.0,"Fiction, Horror, Thriller, Mystery, Contemporary, Novels, American"
149.0,0.199,Woman of Light,Kali Fajardo-Anstine,3.67,9929.0,1453.0,"Historical Fiction, Fiction, Historical, Literary Fiction, Magical Realism, Westerns, Adult"
10872.0,0.195,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,3.79,47689.0,3425.0,"Nonfiction, Self Help, Relationships, Psychology, Humor, Personal Development, Love"
1539.0,0.193,Wintersong,S. Jae-Jones,3.53,30843.0,5730.0,"Fantasy, Young Adult, Romance, Retellings, Young Adult Fantasy, Fiction, New Adult"
10613.0,0.193,The Great Book of Amber,Roger Zelazny,4.31,25601.0,1015.0,"Fantasy, Fiction, Science Fiction, Science Fiction Fantasy, Epic Fantasy, High Fantasy, Classics"
