book_index,similarity_score,title,author,rating,no_of_ratings,no_of_reviews,genres
10973.0,0.968999981880188,The Sweetness at the Bottom of the Pie,Alan Bradley,3.82,164670.0,17878.0,"Mystery, Fiction, Historical Fiction, Young Adult, Mystery Thriller, Audiobook, Crime"
6861.0,0.9660000205039978,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,4.14,465450.0,14774.0,"Nonfiction, Memoir, Animals, Biography, Dogs, Humor, Biography Memoir"
1707.0,0.9649999737739564,Clariel,Garth Nix,3.87,26378.0,2622.0,"Fantasy, Young Adult, Fiction, Magic, High Fantasy, Young Adult Fantasy, Adventure"
7937.0,0.9639999866485596,Wilderness Heart,Jacqueline    Hopkins,3.54,24.0,18.0,Romance
12563.0,0.9639999866485596,The Element: How Finding Your Passion Changes Everything,Ken Robinson,3.86,17657.0,1714.0,"Nonfiction, Education, Self Help, Psychology, Personal Development, Business, Philosophy"
8259.0,0.9639999866485596,Malala's Magic Pencil,Malala Yousafzai,4.52,4851.0,873.0,"Picture Books, Biography, Nonfiction, Childrens, Memoir, Feminism, Cultural"
7995.0,0.9639999866485596,"The Crazy Life of a Kid from Brooklyn: My Crazy Life in history, with celebrities, with travel & with business",Bill Morgenstein,4.47,74.0,20.0,
8998.0,0.9629999995231628,Seven Deadly Samovars,Morgan St. James,3.9,20.0,4.0,
10319.0,0.962000012397766,The Clan of the Cave Bear,Jean M. Auel,4.08,259797.0,7745.0,"Historical Fiction, Fiction, Fantasy, Historical, Classics, Romance, Adventure"
7895.0,0.962000012397766,Captive Spirit,Liz Fichera,3.94,54.0,19.0,"Historical Fiction, Historical, Young Adult, Romance, Historical Romance"
11341.0,0.962000012397766,The Complete Saki,Saki,4.37,2498.0,169.0,"Short Stories, Fiction, Classics, Humor, Literature, British Literature, 20th Century"
5258.0,0.9610000252723694,Spiritual Symbols,NataÃÂ¡a PantoviÃÂ,4.0,11.0,2.0,"Philosophy, Spirituality, Self Help"
6901.0,0.959999978542328,Defending Jacob,William Landay,3.99,292191.0,23146.0,"Fiction, Mystery, Thriller, Crime, Mystery Thriller, Suspense, Audiobook"
56.0,0.959999978542328,Madam Speaker: Nancy Pelosi and the Lessons of Power,Susan  Page,4.15,1344.0,188.0,"Politics, Biography, Nonfiction, History, Biography Memoir, Memoir, Leadership"
5575.0,0.959999978542328,Nightrise,Anthony Horowitz,4.03,14581.0,480.0,"Fantasy, Young Adult, Horror, Fiction, Adventure, Paranormal, Supernatural"
8710.0,0.959999978542328,Miss Kopp's Midnight Confessions,Amy  Stewart,3.78,5279.0,848.0,"Historical Fiction, Mystery, Fiction, Historical, Audiobook, Crime, Adult"
2089.0,0.9589999914169312,Churchill: Walking with Destiny,Andrew Roberts,4.32,8736.0,892.0,"Biography, History, Nonfiction, Politics, Biography Memoir, World War II, Audiobook"
6557.0,0.9589999914169312,The Sheik and the Bought Bride,Susan Mallery,3.94,945.0,55.0,"Romance, Contemporary Romance, Harlequin, Contemporary, Adult, Category Romance, Chick Lit"
7955.0,0.9580000042915344,Notes of Oisin: From an Irish Monk to a Skaldic Poet,Tamuna Tsertsvadze,4.71,14.0,1.0,
6995.0,0.9580000042915344,The Cider House Rules,John Irving,4.16,180329.0,4835.0,"Fiction, Classics, Historical Fiction, Literature, Literary Fiction, Contemporary, Novels"
8065.0,0.9580000042915344,No Road to Khartoum,Nigel Seed,4.25,261.0,16.0,Unfinished
7602.0,0.9580000042915344,Goodnight Moon,Margaret Wise Brown,4.3,362169.0,6924.0,"Childrens, Picture Books, Classics, Fiction, Poetry, Kids, Animals"
6299.0,0.9580000042915344,Hissy Fit,Mary Kay Andrews,3.96,25441.0,1676.0,"Chick Lit, Romance, Fiction, Humor, Southern, Mystery, Contemporary"
9701.0,0.9580000042915344,The Price of Privilege: How Parental Pressure and Material Advantage Are Creating a Generation of Disconnected and Unhappy Kids,Madeline Levine,3.9,2974.0,360.0,"Parenting, Nonfiction, Psychology, Education, Sociology, Family, Counselling"
9447.0,0.9570000171661376,Passionate Intention,Belinda Vale,4.46,147.0,6.0,"Fiction, Drama, Novels"
2649.0,0.9570000171661376,Magic Slays,Ilona Andrews,4.4,73147.0,3314.0,"Urban Fantasy, Fantasy, Paranormal, Romance, Magic, Vampires, Paranormal Romance"
2969.0,0.9570000171661376,They Both Die at the End,Adam Silvera,3.79,658941.0,78989.0,"Young Adult, Romance, LGBT, Contemporary, Fiction, Queer, Audiobook"
156.0,0.9570000171661376,Veronika Decides to Die,Paulo Coelho,3.72,212573.0,10504.0,"Fiction, Contemporary, Philosophy, Novels, Psychology, Romance, Mental Health"
11744.0,0.9559999704360962,The Desire Map,Danielle LaPorte,3.91,8078.0,394.0,"Self Help, Nonfiction, Personal Development, Spirituality, Productivity, Psychology, Business"
987.0,0.9559999704360962,The Obelisk Gate,N.K. Jemisin,4.31,147746.0,11454.0,"Fantasy, Fiction, Science Fiction, Dystopia, Audiobook, Science Fiction Fantasy, Adult"
6978.0,0.9559999704360962,Flags of Our Fathers,James D. Bradley,4.21,59204.0,1787.0,"History, Nonfiction, Military Fiction, War, World War II, Biography, Military History"
11220.0,0.9559999704360962,The Book Your Church Doesn't Want You to Read,Tim C. Leedom,3.9,388.0,28.0,"Religion, Nonfiction, Banned Books, History, Atheism, Spirituality, Christian"
2460.0,0.9559999704360962,The Darkness That Comes Before,R. Scott Bakker,3.81,20240.0,1226.0,"Fantasy, Fiction, Epic Fantasy, Dark Fantasy, High Fantasy, Science Fiction Fantasy, Epic"
9450.0,0.9559999704360962,The Raw Shark Texts,Steven  Hall,3.82,20175.0,2048.0,"Fiction, Fantasy, Science Fiction, Mystery, Thriller, Horror, Novels"
