book_index,similarity_score,title,author,rating,no_of_ratings,no_of_reviews,genres
5210.0,0.995,Kiss of Snow,Nalini Singh,4.45,31005.0,2266.0,"Paranormal Romance, Paranormal, Romance, Fantasy, Shapeshifters, Urban Fantasy, Adult"
11192.0,0.995,Villa Incognito,Tom Robbins,3.68,18564.0,770.0,"Fiction, Humor, Literature, Magical Realism, Novels, Contemporary, American"
11354.0,0.995,Augustus,John  Williams,4.23,14159.0,1522.0,"Historical Fiction, Fiction, Classics, Historical, Literature, Novels, American"
5363.0,0.995,"Girl, Missing",Sophie McKenzie,3.85,15609.0,1077.0,"Young Adult, Mystery, Fiction, Thriller, Contemporary, Crime, Mystery Thriller"
8004.0,0.995,"Loves Music, Loves to Dance",Mary Higgins Clark,3.93,28530.0,981.0,"Mystery, Fiction, Suspense, Thriller, Mystery Thriller, Crime, Adult"
10211.0,0.995,The Last Days of Night,Graham Moore,4.15,39010.0,4737.0,"Historical Fiction, Fiction, Historical, Mystery, Audiobook, New York, Adult Fiction"
4867.0,0.994,The Wishing Spell,Chris Colfer,4.25,134065.0,10898.0,"Fantasy, Middle Grade, Fiction, Childrens, Young Adult, Fairy Tales, Adventure"
13226.0,0.994,ÃÂ¨ÃÂ§ÃÂ¦ÃÂ¹ÃÂ© ÃÂ§ÃÂÃÂ®ÃÂ¨ÃÂ²,Xavier de Montepin,3.73,4124.0,480.0,"Novels, Classics, Fiction, Literature, Romance, Historical Fiction, French Literature"
10846.0,0.994,The Broken Wings,Kahlil Gibran,3.95,23339.0,3005.0,"Classics, Poetry, Fiction, Romance, Novels, Philosophy, Literature"
8924.0,0.994,The Archon of Peace,Juddy Anderson C. Punzalan,4.56,343.0,58.0,"Fantasy, High Fantasy, Mythology, Fiction"
72.0,0.994,A Gracious Enemy,Michael G. Kramer,4.33,1491.0,10.0,"War, History, Nonfiction, Epic, Contemporary"
234.0,0.994,Shot Down: The True Story of Pilot Howard Snyder and the Crew of the B-17 Susan Ruth,Steve Snyder,4.21,8894.0,129.0,"History, Nonfiction, Military Fiction, Adult, Aviation, Biography, Adventure"
10912.0,0.994,The Summer Book,Tove Jansson,4.04,35461.0,4545.0,"Fiction, Short Stories, Classics, Finnish Literature, Scandinavian Literature, Literary Fiction, Novels"
9677.0,0.994,The Dollmaker,Mary Burton,4.36,11301.0,556.0,"Mystery, Romantic Suspense, Suspense, Romance, Fiction, Thriller, Crime"
1792.0,0.994,The Young Jaguar,Zoe Saadia,3.91,343.0,51.0,"Historical Fiction, Fiction, Historical, Adventure"
7033.0,0.994,The Blade Artist,Irvine Welsh,3.82,6925.0,451.0,"Fiction, Thriller, Crime, Mystery, Contemporary, Scotland, Novels"
11216.0,0.994,Family Matters,Rohinton Mistry,4.03,23232.0,1165.0,"Fiction, India, Indian Literature, Canada, Asia, Contemporary, Literature"
7591.0,0.993,Love Comes Softly,Janette Oke,4.25,41341.0,1568.0,"Christian Fiction, Romance, Historical Fiction, Christian, Fiction, Historical, Historical Romance"
5940.0,0.993,Briskwood Blood Rain,Christopher Joubert,4.33,27.0,5.0,
7975.0,0.993,The Whole Truth,David Baldacci,4.06,37140.0,1833.0,"Fiction, Thriller, Mystery, Suspense, Crime, Mystery Thriller, Action"
70.0,0.993,Facing the Mountain: A True Story of Japanese American Heroes in World War II,Daniel James Brown,4.49,8738.0,1309.0,"Nonfiction, History, World War II, War, Historical, Audiobook, American History"
775.0,0.993,Exodus,Leon Uris,4.34,97416.0,2021.0,"Historical Fiction, Fiction, Classics, Historical, Israel, Jewish, War"
5116.0,0.993,The Distance Between Us,Kasie West,3.91,76440.0,7843.0,"Romance, Young Adult, Contemporary, Chick Lit, Realistic Fiction, Young Adult Contemporary, Fiction"
10589.0,0.993,Winter,Marissa Meyer,4.43,263358.0,30382.0,"Fantasy, Young Adult, Science Fiction, Romance, Retellings, Dystopia, Fiction"
1810.0,0.993,Lies a River Deep,Vera Jane Cook,4.23,153.0,13.0,"Contemporary, Fiction"
10029.0,0.993,The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph,Ryan Holiday,4.15,73363.0,4833.0,"Philosophy, Nonfiction, Self Help, Business, Personal Development, Psychology, Leadership"
9616.0,0.993,Killing England: The Brutal Struggle for American Independence,Bill O'Reilly,4.26,13811.0,1100.0,"History, Nonfiction, American History, Historical, Audiobook, American Revolution, Biography"
4340.0,0.993,Glass Girl,Laura Anderson Kurk,4.31,313.0,67.0,"Contemporary, Young Adult, Christian, Romance, Fiction, Christian Fiction, Family"
12668.0,0.993,The Millennium Trilogy,Stieg Larsson,4.46,54323.0,1890.0,"Fiction, Mystery, Thriller, Crime, Suspense, Novels, Contemporary"
2244.0,0.993,Savage Longings,Cassie Edwards,4.32,144.0,3.0,"Romance, Historical Romance, Historical, Westerns, Western Romance, Historical Fiction"
7577.0,0.993,Moonlight on the Nantahala,Micheal Rivers,3.89,114.0,32.0,"Romance, Paranormal, Contemporary, Fiction"
6236.0,0.993,The House,Christina Lauren,3.5,5226.0,906.0,"Horror, Young Adult, Paranormal, Romance, Fantasy, Mystery, Thriller"
5076.0,0.993,Son,Lois Lowry,3.99,98077.0,9617.0,"Young Adult, Dystopia, Fiction, Fantasy, Science Fiction, Middle Grade, Classics"
7101.0,0.993,In the Woods,Tana French,3.79,383600.0,26605.0,"Mystery, Fiction, Thriller, Crime, Mystery Thriller, Ireland, Suspense"
10979.0,0.993,How to Have Confidence and Power in Dealing with People,Les Giblin,4.26,13393.0,226.0,"Self Help, Business, Nonfiction, Psychology, Communication, Leadership, Personal Development"
10727.0,0.993,Shoeless Joe,W.P. Kinsella,3.97,15014.0,1156.0,"Fiction, Sports, Baseball, Fantasy, Magical Realism, Classics, Historical Fiction"
13250.0,0.993,A Kidnapping in Milan: The CIA on Trial,Steve Hendricks,3.43,76.0,14.0,"Nonfiction, History, International, Terrorism"
6476.0,0.993,The Red Queen,Philippa Gregory,3.81,71485.0,4981.0,"Historical Fiction, Fiction, Historical, British Literature, Adult, Romance, Tudor Period"
6996.0,0.993,"Queen of the Road: The True Tale of 47 States, 22,000 Miles, 200 Shoes, 2 Cats, 1 Poodle, a Husband, and a Bus with a Will of Its Own",Doreen Orion,3.49,1727.0,363.0,"Travel, Nonfiction, Memoir, Humor, Biography, Adventure, Book Club"
12022.0,0.993,The Pity of It All: A Portrait of the German-Jewish Epoch 1743-1933,Amos Elon,4.34,748.0,95.0,"History, Nonfiction, Germany, Jewish, Judaism, Religion, European History"
6613.0,0.993,The Orphan's Tale,Pam Jenoff,4.04,83038.0,7191.0,"Historical Fiction, Fiction, World War II, Historical, Audiobook, War, Holocaust"
9622.0,0.993,Shakespeare: The Biography,Peter Ackroyd,4.01,2097.0,203.0,"Biography, Nonfiction, History, Audiobook, British Literature, Biography Memoir, Drama"
2239.0,0.993,"Empire of the Summer Moon: Quanah Parker and the Rise and Fall of the Comanches, the Most Powerful Indian Tribe in American History",S.C. Gwynne,4.22,49342.0,4657.0,"History, Nonfiction, Biography, American History, Historical, Native Americans, Westerns"
5337.0,0.993,EnderÃ¢ÂÂs Game,Orson Scott Card,4.31,1325276.0,48149.0,"Science Fiction, Fiction, Young Adult, Fantasy, Classics, Science Fiction Fantasy, Dystopia"
7645.0,0.993,The Adventures of Sherlock Holmes,Arthur Conan Doyle,4.3,288876.0,8800.0,"Classics, Mystery, Fiction, Short Stories, Crime, Detective, Mystery Thriller"
10519.0,0.993,Unwifeable: A Memoir,Mandy Stadtmiller,3.52,2930.0,259.0,"Memoir, Nonfiction, Womens, Biography, Humor, Biography Memoir, Autobiography"
11539.0,0.993,Shattered and Shaken,Julie Bailes,4.08,622.0,141.0,"New Adult, Romance, Contemporary Romance, Military Fiction, Contemporary, Young Adult, Amazon"
11594.0,0.993,Believing Christ: The Parable of the Bicycle and Other Good News,Stephen E. Robinson,4.51,15212.0,949.0,"Religion, Lds, Nonfiction, Church, Spirituality, Inspirational, Christian"
11540.0,0.993,ÃÂ©ÃÂÃÂÃÂ¯ÃÂ±,Mahmoud Dowlatabadi,4.35,3592.0,355.0,"Novels, Fiction, Literature, Iran, Unfinished, Romance, 20th Century"
