algorithm,elapsed_time,iterations_done,total_iterations,iterations_per_second,book_index,similarity_score,,book_title,recommended_description
,,,,,9844.0,0.509,,The Pursuit of God: The Human Thirst for the Divine,"Ã¢ÂÂAs the hart panteth after the water brooks, so panteth my soul after thee, O God.Ã¢ÂÂ This thirst for an intimate relationship with God, claims A.W. Tozer, is not for a select few, but should be the experience of every follower of Christ.  Here is a masterly study of the inner life by a heart thirsting after God. Here is a book for every child of God, pastor, missionary, and Christian. It deals with the deep things of God and the riches of His grace.  In The Pursuit of God, Tozer sheds light on the path to a closer walk with God."
,,,,,1420.0,0.509,,Who I Am In Christ: 59 Truths To Build Your Identity in Christ,Discover your identity in Christ through some Biblical verses. Knowing your identity is critical and an important element for your growth in Christ. Confess whom God says you are on a daily basis and see your life being transformed by the living Word of the Almighty God.
,,,,,10814.0,0.5,,A Love Story How God Pursued Me and Found Me: An Impossibly True Story,"Those who grow up with the knowledge of God's love know that He is there to guide them in their life. Even in bad times, they know that God will help them see things through and come out better when the trials have ended. But what about those who have not been raised with God in their lives? Samantha Ryan Chandler knows about living without God. Or at least she thought. In A Love Story: How God Pursued Me and Found Me, she tells her story of love, hatred, abuse, forgiveness, betrayal, greed, enlightenment, and fear. Born to a pagan mother and a former altar boy living in a land of denial, she recounts how God was involved in her life even before she knew who He was. She shares the story of her trip to the Holy Land and how her prayers at the Wailing Wall were interrupted because of a hamburger. Yes, despite her tribulations, her life has had its funny moments as well.You'll find inspiration in A Love Story: How God Pursued Me and Found Me-and like Chandler, you, too, may find themselves pursued by God."
,,,,,2320.0,0.494,,Let the Nations Be Glad!: The Supremacy of God in Missions,"Why do we do missions? We are told, by Jesus, to preach the gospel and make disciples of all nations. So missions is duty, right? Wrong. If you do missions purely from a sense of duty you will not honor those you are reaching out to, nor will you truly honor God. Duty is the wrong place to look, so where do we find the answer to why we do missions? We turn, according to John Piper, to worship. // In our worship of God we encounter God's glory. The overflow from our worship is a desire to share God's glory with others (the chief end of man is to glorify God and enjoy Him forever), and we naturally become missional. When Jesus was asked what the kingdom of God was like, he compared it to a pearl so valuable that one would sell all they owned simply to possess it. Does that seem like duty to you? Instead, Jesus calls us to a new mindset, which flows from the mindset that worship creates in us. Thus, according to Piper, does worship become the goal of missions and the fuel which makes missions possible. // Worship as the fuel for missions makes sense to a lot of people, but worship as the goal of missions? Piper reminds us that the true reason we share God with others is to make them worshipers (and sharers) as well. He feels that the true goal of missions is ""the gladness of the peoples in the greatness of God."" If it is true, (as Piper states) that ""God is most glorified in us when we are most satisfied in Him,"" then increasing the number of people who are satisfied in God will bring God more glory. And missions is the way we can do that. // Missions must be seen as more than simply saving people from sin, though that is a very important aspect. And missions is not just about getting people into heaven, although that is important as well. Instead, through missions we should always seek to make as many people as possible into true worshipers, into those fully satisfied with the greatness of God. // With that mindset, missions becomes a joyous experience, as we joyfully share the life-changing presence of God in our lives with those who don't know God. When we have made worship both the fuel and goal of all our missionary endeavors, we realize that ""missions is not a recruitment project for God's labor force. It is a liberation project from the heavy burdens and hard yokes of other gods."" Missions is never a burden, because it comes out of our overwhelming joy in God's grace and mercy, and we just want to share that joy. So make God the center of your missions work, and joyfully share what He has graciously given to you."
,,,,,7511.0,0.486,,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,"Librarian's note: See alternate cover edition of ISBN 0785263705 here.""I never liked jazz music because jazz music doesn't resolve. I used to not like God because God didn't resolve. But that was before any of this happened."" Ã¢ÂÂDonald MillerIn Donald Miller's early years, he was vaguely familiar with a distant God. But when he came to know Jesus Christ, he pursued the Christian life with great zeal. Within a few years he had a successful ministry that ultimately left him feeling empty, burned out, and, once again, far away from God. In this intimate, soul-searching account, Miller describes his remarkable journey back to a culturally relevant, infinitely loving God.For anyone wondering if the Christian faith is still relevant in a postmodern culture.For anyone thirsting for a genuine encounter with a God who is real.For anyone yearning for a renewed sense of passion inÃÂ  life.Blue Like Jazz is a fresh and original perspective on life, love, and redemption."
,,,,,13179.0,0.483,,Me and My Big Mouth!: Your Answer Is Right Under Your Nose,"Is your mouth busy telling about all the troubles in your life? Does it seem as though your mouth has a mind of its own? Put your mouth on a crash course to victory. You can take hold of the words you speak and make them work for you!Me and My Big Mouth will show you how to train your mouth to speak words that will help you accomplish all God wants for you in this life. Bestselling author Joyce Meyer emphasizes that speaking the Word of God must be coupled with living a life of complete obedience to the Word of God in order to see the full power of God flowing in your life.By applying the biblical truths outlined in this book, you will Bring your mouth into agreement with God . . . and begin to walk in victory!"
,,,,,6036.0,0.482,,Temporary Power Outages,"When we think of the word ""temporary,"" we think of momentary, just for a season, not lasting forever, or just for a little while. God allows situations, things and people in our lives, to have a temporary status because He knows what's best for us. No one wants to hurt physically or emotionally for a long period of time. God was gracious enough to provide us with the term, ""temporary."" He said, Weeping may endure for a night, but joy comes in the morning."" ""Temporary Power Outages,"" shows how people of God still have trials, tribulations, and obstacles in our life, but glory to God, we can be overcomers. So many people feel that being a Christian means your troubles are over. Some people even feel that they are unworthy of God's love and His blessings. Meanwhile, there are others who feel that since they are saved, they have everything in the bag. The author of this book struggled with her identity early in childhood and continued to struggle throughout part of her adult life. Only God knew how she felt about life and how disappointing it was at times. The author shares her many encounters with God throughout her life and how He kept her from Satan's snares. She wants the world to know that it really is not about us, but about God and the sacrifice He made by giving His only Son for our sins."
,,,,,12948.0,0.479,,Running with God: A discipleship guide to grow in faith and experience the power and love of God,"Is something missing in your spiritual life? Do you ever feel like youÃ¢ÂÂre spiritually driving around with the parking brake on? If your answer is yes to these questions and youÃ¢ÂÂve been a follower of Jesus Christ for a number of years, then this book is for you. But be cautioned, for as you go through this book you will experience God challenging you to a deeper faith and gently putting His finger on those areas of your life that need some loving attention. You cannot read and apply the teaching of this book and not be challenged. Running with God is designed to strengthen you in your faith experience and take you to the next level in your spiritual maturity. It will provide you with:Ã¢ÂÂ¢ knowledge of how to experience and encounter God in real and wondrous waysÃ¢ÂÂ¢ a training program to help you become more disciplined and mature in your relationship with GodÃ¢ÂÂ¢ testimonies of individuals who have experienced God moving in their livesÃ¢ÂÂ¢ practical and biblical insight to help you overcome the hindrances that are holding you back from growing spirituallyÃ¢ÂÂ¢ confidence in knowing God and the ability to understand His will in everyday situations"
,,,,,9930.0,0.464,,The Holiness of God,"Central to GodÃ¢ÂÂs character is the quality of holiness. Yet, even so, most people are hard-pressed to define what GodÃ¢ÂÂs holiness precisely is. Many preachers today avoid the topic altogether because people today donÃ¢ÂÂt quite know what to do with words like Ã¢ÂÂaweÃ¢ÂÂ or Ã¢ÂÂfear.Ã¢ÂÂ R. C. Sproul, in this classic work, puts the holiness of God in its proper and central place in the Christian life. He paints an awe-inspiring vision of God that encourages Christian to become holy just as God is holy. Once you encounter the holiness of God, your life will never be the same."
,,,,,176.0,0.463,,The Bible: Enter Here: Bringing God's Word to Life for Today's Teens,"""KNOCK AND IT WILL BE OPENED FOR YOU."" --MATTHEW 7:7The Bible has the answers to life's most important questions. But for many teens, and even many adults, God's message can be lost in the Bible's often confusing terminology, dry language, or lengthy history lessons. Who begat who-and why should I care? The Bible: Enter Here opens the door to God's Word by breathing new life into key Bible stories, retelling them in a fresh, fun, and relatable way. You'll discover that the Bible is packed with drama, suspense, and even humor. You'll see that the Bible's main characters were real people, with the same flaws, fears, and dreams you have. And most important, you'll learn how Jesus' teachings are vital to your life today.Here are a few of the characters you'll meet:- JACOB: The guy who wrestled God-and got a nation named after him- PHARAOH: Ten plagues, and still didn't learn his lesson- DELILAH: Irresistible ... and dangerous- SHADRACH, MESHACH, and ABEDNEGO: The ultimate trial by fire- VIRGIN MARY: On parenting the Son of God- PETER: His agony and triumph, in his own wordsLearn how one man's life, death, and resurrection changed the world forever, and what that could mean for you-if you're ready to knock on the door and enter."
,,,,,9001.0,0.444,,Discerning the Voice of God: How to Recognize When God Speaks,"From the pen of one who has been where you are: loving God and longing to hear his voice, Priscilla Shirer shares her insights based on practical experience and years of biblical study in this new edition of Discerning the Voice of God . In it she writes: Through His longsuffering and steadfastness, God has invited me to know Him better. And the more intimate I've become with Him, the more acquainted I've become with His voice. He has proven Himself to me not because I'm more special than anyone else, but because He loves proving His Word is true-to all His children. To you. One of Priscilla's bestselling titles, Discerning the Voice of God is now completely revised with updated content and reflection questions. Each section contains insights that will aid you in your desire to hear Him speak: Realize the Way He Speaks, Recognize the Sound of His Voice, Remember What He Wants to Accomplish, and Ready Yourself for Even More. Discover the treasure of recognizing how God keeps in touch with his beloved people and watch as He communicates with you."
,,,,,2464.0,0.443,,"Allah, Liberty and Love: The Courage to Reconcile Faith and Freedom","In Allah, Liberty and Love, Irshad Manji paves a path for Muslims and non-Muslims to transcend the fears that stop so many of us from living with honest-to- God the fear of offending others in a multicultural world as well as the fear of questioning our own communities. Since publishing her international bestseller, The Trouble with Islam Today, Manji has moved from anger to aspiration. She shows how any of us can reconcile faith with freedom and thus discover the Allah of liberty and loveÃ¢ÂÂ¬Ã¢ÂÂthe universal God that loves us enough to give us choices and the capacity to make them. Among the most visible Muslim reformers of our era, Manji draws on her experience in the trenches to share stories that are deeply poignant, frequently funny and always revealing about these morally confused times. What prevents young Muslims, even in the West, from expressing their need for religious reinterpretation? What scares non-Muslims about openly supporting liberal voices"
,,,,,12760.0,0.439,,"God's Promises For You: Divine Promises and Affirmations For Your Success, All-round Prosperity and Total Well-being","Whatever your situation, God has a promise for you! This topically arranged collection of GodÃ¢ÂÂs promises will boost your faith in God, help you receive from Him, and enjoy all-round success and complete prosperity. Reading this book, confessing the promises, and meditating on them will bring calm, hope, healing, prosperity, and peace into your life, and set you in an atmosphere of success. This book contains over 1,000 promises made by God, specifically for YOU. You will see promises God has made to give you blessings, good health, deliverance, victory, glory, beauty, power, and many more. This book is an indispensable manual for tapping into the supernatural power of GodÃ¢ÂÂs promises packaged in his Word, the Holy Bible.About the author:Theo John Paul is a Bible teacher, Christian minister, author, life coach, speaker and business consultant. He is the president and founder of Growing Business Institute and The Phenomenal People Center.Theo gives lectures and workshops around the world to small business owners seeking to build their businesses. By combining his business background with his Biblical training, he presents ideas and solutions to businesses to help them thrive and succeed. Theo inspires people with the knowledge and tools to stretch beyond their comfort zone and discover new opportunities. He shows people that they can do extraordinary things if they have the proper perspective.Theo's innovative ideas and workshops help thousands of audiences reach a higher level of success."
,,,,,5725.0,0.438,,God's Smuggler,"As a boy he dreamed of being a spy undercover behind enemy lines. As a man he found himself undercover for God. Brother Andrew was his name and for decades his life story, recounted in God's Smuggler, has awed and inspired millions. The bestseller tells of the young Dutch factory worker's incredible efforts to transport Bibles across closed borders-and the miraculous ways in which God provided for him every step of the way. Revell and Chosen now reintroduce this powerful story with two new releases: a 35th anniversary edition and The Narrow Road, an expanded youth edition. Both contain a new foreword and afterword. The youth edition also features information about ministry to the persecuted church today, including country profiles, quotes from Christians in underground churches, ""what if"" scenarios based on real-life threats they face, and stories from others who have participated in Brother Andrew's Bible-smuggling work. Brother Andrew's story remains as inspiring today as it was thirty-five years ago, and with these new releases it will motivate a whole new generation to risk everything to follow God's call."
,,,,,1637.0,0.435,,Think: The Life of the Mind and the Love of God,"John PiperÃ¢ÂÂs newest book will help Christians think about thinking. Focusing on the life of the mind helps us to know God better, love him more, and care for the world. Along with an emphasis on emotions and the experience of God, we also need to practice careful thinking about God. Piper contends that Ã¢ÂÂthinking is indispensable on the path to passion for God.Ã¢ÂÂ So how are we to maintain a healthy balance of mind and heart, thinking and feeling? Piper urges us to think for the glory of God. He demonstrates from Scripture that glorifying God with our minds and hearts is not either-or, but both-and. Thinking carefully about God fuels passion and affections for God. Likewise, Christ-exalting emotion leads to disciplined thinking. Readers will be reminded that Ã¢ÂÂthe mind serves to know the truth that fuels the fires of the heart.Ã¢ÂÂ"
,,,,,8201.0,0.434,,"Boy Erased: A Memoir of Identity, Faith, and Family","A beautiful, raw and compassionate memoir about identity, love and understanding. Now a major motion picture starring Nicole Kidman, Russell Crowe, and Lucas Hedges, directed by Joel Edgerton..   The son of a Baptist pastor and deeply embedded in church life in small town Arkansas, as a young man Garrard Conley was terrified and conflicted about his sexuality.  When Garrard was a nineteen-year-old college student, he was outed to his parents, and was forced to make a life-changing decision: either agree to attend a church-supported conversion therapy program that promised to Ã¢ÂÂcureÃ¢ÂÂ him of homosexuality; or risk losing family, friends, and the God he had prayed to every day of his life. Through an institutionalized Twelve-Step Program heavy on Bible study, he was supposed to emerge heterosexual, ex-gay, cleansed of impure urges and stronger in his faith in God for his brush with sin. Instead, even when faced with a harrowing and brutal journey, Garrard found the strength and understanding to break out in search of his true self and forgiveness.  By confronting his buried past and the burden of a life lived in shadow, Garrard traces the complex relationships among family, faith, and community. At times heart-breaking, at times triumphant, this memoir is a testament to love that survives despite all odds."
,,,,,1956.0,0.43,,The Pleasures of God: Meditations on God's Delight in Being God,"THE SOURCE OF TRUE SATISFACTION.IsnÃ¢ÂÂt it trueÃ¢ÂÂwe really donÃ¢ÂÂt know someone until we understand what makes that person happy?ÃÂ  And so it is with God!What does bring delight to the happiest Being in the universe?ÃÂ  John Piper writes, that itÃ¢ÂÂs only when we know what makes God glad that weÃ¢ÂÂll know the greatness of His glory.ÃÂ  Therefore, we must comprehend Ã¢ÂÂthe pleasures of God.Ã¢ÂÂUnlike so much of what is written today, this is not a book about us. It is about the One we were made forÃ¢ÂÂGod Himself. In this theological masterpieceÃ¢ÂÂchosen by World Magazine as one of the 20th CenturyÃ¢ÂÂs top 100 books, John Piper reveals the biblical evidence to help us see and savor what the pleasures of God show us about Him.ÃÂ  Then we will be able to drink deeplyÃ¢ÂÂand satisfyinglyÃ¢ÂÂfrom the only well that offers living water.What followers of Jesus need now, more than anything else, is to know and loveÃ¢ÂÂbehold and embraceÃ¢ÂÂthe great, glorious, sovereign, happy God of the Bible.ÃÂ Ã¢ÂÂThis is a unique and precious book that everybody should read more than once.Ã¢ÂÂJ.I. PACKERRegent College, Vancouver, British ColumbiaÃÂ Includes a study guide for individual and small-group use."
