book_index,similarity_score,title,author,rating,no_of_ratings,no_of_reviews,genres
9448.0,0.567,Take This Regret,Amy Lichtenhan,4.01,24595.0,1793.0,"Romance, Contemporary Romance, Contemporary, New Adult, Adult, Chick Lit, Drama"
12451.0,0.564,"""A Problem from Hell"": America and the Age of Genocide",Samantha Power,4.25,10195.0,647.0,"Nonfiction, History, Politics, War, Africa, American History, International Relations"
303.0,0.545,Never Too Far,Abbi Glines,4.17,120317.0,6302.0,"Romance, New Adult, Contemporary, Contemporary Romance, Young Adult, Chick Lit, Adult"
7128.0,0.535,Effacement,Hieronymus Hawkes,4.23,472.0,63.0,"Science Fiction, Contemporary, Novels, Drama, Mystery, Thriller, Fiction"
27.0,0.526,Dear Barack: The Extraordinary Partnership of Barack Obama and Angela Merkel,Claudia   Clark,4.28,6230.0,357.0,"Nonfiction, History, Book Club, How To, Politics, Inspirational, Education"
9260.0,0.508,The Gene: An Intimate History,Siddhartha Mukherjee,4.36,46485.0,4294.0,"Science, Nonfiction, History, Biology, Medicine, Genetics, Health"
13247.0,0.494,Ted L. Nancy's Afternoon Stories,Ted L. Nancy,3.58,19.0,2.0,
6949.0,0.493,Mort,Terry Pratchett,4.24,235006.0,7427.0,"Fantasy, Fiction, Humor, Comedy, Science Fiction Fantasy, Audiobook, Novels"
455.0,0.491,Neil Patrick Harris: Choose Your Own Autobiography,Neil Patrick Harris,3.82,34912.0,3911.0,"Nonfiction, Memoir, Biography, Humor, Audiobook, Autobiography, Biography Memoir"
1043.0,0.491,Beautiful Boy: A Father's Journey Through His Son's Addiction,David Sheff,4.14,83365.0,7520.0,"Nonfiction, Memoir, Biography, Audiobook, Mental Health, Biography Memoir, Psychology"
7015.0,0.488,"Tinker, Tailor, Soldier, Spy",John le CarrÃÂ©,4.05,90746.0,5156.0,"Fiction, Mystery, Thriller, Espionage, Classics, Mystery Thriller, Crime"
56.0,0.472,Madam Speaker: Nancy Pelosi and the Lessons of Power,Susan  Page,4.15,1344.0,188.0,"Politics, Biography, Nonfiction, History, Biography Memoir, Memoir, Leadership"
