book_index,similarity_score,title,author,rating,no_of_ratings,no_of_reviews,genres
10706.0,0.283,Arch of Triumph: A Novel of a Man Without a Country,Erich Maria Remarque,4.42,25416,969,"Classics, Fiction, Historical Fiction, German Literature, War, Romance, Germany"
1152.0,0.27,How Not To Be a Boy,Robert Webb,4.19,14083,1106,"Nonfiction, Biography, Memoir, Audiobook, Autobiography, Feminism, Comedy"
6171.0,0.27,You Take It From Here,Pamela Ribon,3.7,712,133,"Fiction, Chick Lit, Drama, Contemporary, Womens Fiction, Relationships, Family"
2076.0,0.249,Dance of Thieves,Mary E. Pearson,4.18,110067,13255,"Fantasy, Romance, Young Adult, Young Adult Fantasy, Fiction, Fantasy Romance, High Fantasy"
7724.0,0.246,After I Do,Taylor Jenkins Reid,3.97,148057,15691,"Romance, Fiction, Contemporary, Audiobook, Chick Lit, Adult, Contemporary Romance"
8052.0,0.232,Beezus and Ramona,Beverly Cleary,4.02,100137,2480,"Childrens, Fiction, Middle Grade, Classics, Realistic Fiction, Young Adult, Humor"
8965.0,0.221,Instructions for Dancing,Nicola Yoon,3.99,46658,9212,"Romance, Young Adult, Contemporary, Fiction, Magical Realism, Fantasy, Audiobook"
900.0,0.213,The Chimney Sweeper's Boy,Barbara Vine,3.75,5499,383,"Mystery, Fiction, Crime, Thriller, Mystery Thriller, British Literature, Suspense"
409.0,0.212,Ivanhoe,Walter Scott,3.76,93091,2940,"Classics, Fiction, Historical Fiction, Adventure, Historical, Literature, Romance"
4266.0,0.209,Fall,Kristen Callihan,4.12,17523,1909,"Romance, Contemporary Romance, Contemporary, Music, New Adult, Adult, Musicians"
8322.0,0.207,"Mary, Mary",James Patterson,3.99,53548,1616,"Mystery, Fiction, Thriller, Crime, Suspense, Mystery Thriller, Detective"
1968.0,0.203,Last Words,George Carlin,3.97,13790,684,"Nonfiction, Biography, Humor, Comedy, Autobiography, Memoir, Comedian"
1235.0,0.201,The Emissary,Kristal Shaff,3.87,505,38,"Fantasy, Young Adult, Magic, Epic Fantasy, High Fantasy, Teen, Mystery"
3995.0,0.199,Cheetahs Never Win,R.J. Blain,4.32,1281,87,"Romance, Urban Fantasy, Paranormal, Fantasy, Shapeshifters, Paranormal Romance, Magic"
11370.0,0.195,The Rainbow Bridge: Bridge to Inner Peace and to World Peace,Brent N. Hunter,4.2,65,24,"Nonfiction, Self Help"
646.0,0.195,Antifragile: Things That Gain from Disorder,Nassim Nicholas Taleb,4.09,49095,4039,"Nonfiction, Philosophy, Business, Economics, Psychology, Science, Finance"
6911.0,0.193,"Firestarters: How Innovators, Instigators, and Initiators Can Inspire You to Ignite Your Own Life",Raoul Davis Jr.,4.29,5269,12,"Business, Nonfiction, Self Help, Inspirational, Personal Development, How To, Book Club"
7837.0,0.189,Birds of a Feather,Jacqueline Winspear,3.99,42846,3640,"Mystery, Historical Fiction, Fiction, Historical, Audiobook, Historical Mystery, British Literature"
1551.0,0.184,All the Queen's Men,Linda Howard,4.1,10548,380,"Romance, Romantic Suspense, Suspense, Contemporary, Contemporary Romance, Mystery, Thriller"
3804.0,0.183,Bleeding Hearts,Alyxandra Harvey,4.21,6619,372,"Vampires, Young Adult, Paranormal, Romance, Fantasy, Paranormal Romance, Supernatural"
8980.0,0.182,Airtight Willie & Me,Iceberg Slim,3.92,401,18,"Fiction, Short Stories, African American, Crime, Urban, Novels"
9283.0,0.182,May Bird and the Ever After,Jodi Lynn Anderson,4.0,7541,554,"Fantasy, Middle Grade, Young Adult, Fiction, Childrens, Adventure, Paranormal"
11814.0,0.179,Silent Victim,Caroline Mitchell,3.96,28498,1833,"Thriller, Mystery, Fiction, Mystery Thriller, Suspense, Psychological Thriller, Crime"
9350.0,0.177,The Shadow of the Torturer,Gene Wolfe,3.83,27152,1974,"Fantasy, Science Fiction, Fiction, Science Fiction Fantasy, Speculative Fiction, Novels, Dystopia"
2884.0,0.176,Dirty,Kylie Scott,3.88,26849,2962,"Romance, Contemporary Romance, Contemporary, New Adult, Humor, Adult, Music"
9667.0,0.174,"At Swim, Two Boys",Jamie O'Neill,4.1,9082,784,"LGBT, Fiction, Historical Fiction, Gay, Queer, Historical, Ireland"
3846.0,0.174,Transcending Darkness,Airicka Phoenix,4.1,4686,394,"Romance, Contemporary Romance, Dark, Contemporary, Crime, Erotica, New Adult"
8282.0,0.168,L'DOR V'DOR: From Generation to Generation,Mark M. Bello,4.51,55,20,
1144.0,0.166,Magic's Price,Mercedes Lackey,4.27,21169,453,"Fantasy, Fiction, LGBT, Magic, Science Fiction Fantasy, Romance, High Fantasy"
12445.0,0.164,The Memory Police,YÃÂko Ogawa,3.74,74731,11107,"Fiction, Science Fiction, Dystopia, Japan, Fantasy, Japanese Literature, Magical Realism"
5220.0,0.161,The Steele Wolf,Chanda Hahn,4.35,7606,425,"Fantasy, Young Adult, Magic, Romance, Paranormal, Supernatural, Fiction"
1607.0,0.158,Hannah's Hope,Anne Hagan,4.17,47,9,"Mystery, Lesbian Fiction, Lesbian, Fiction"
8122.0,0.156,Feynman,Jim Ottaviani,3.8,6877,701,"Graphic Novels, Biography, Science, Comics, Nonfiction, History, Physics"
2089.0,0.155,Churchill: Walking with Destiny,Andrew Roberts,4.32,8736,892,"Biography, History, Nonfiction, Politics, Biography Memoir, World War II, Audiobook"
1457.0,0.155,Snow White Must Die,Nele Neuhaus,3.8,11652,1393,"Mystery, Crime, Fiction, Thriller, Germany, German Literature, Mystery Thriller"
6416.0,0.154,"Voyage on the Great Titanic: The Diary of Margaret Ann Brady, R.M.S. Titanic, 1912",Ellen Emerson White,3.99,10245,683,"Historical Fiction, Young Adult, Historical, Fiction, Childrens, Middle Grade, Juvenile"
10241.0,0.154,When Helping Hurts: How to Alleviate Poverty without Hurting the Poor...and Yourself,Steve Corbett,4.19,12973,1153,"Christian, Nonfiction, Theology, Christianity, Social Justice, Faith, Christian Living"
6302.0,0.153,Ballet Shoes,Noel Streatfeild,4.07,35912,1637,"Classics, Childrens, Fiction, Middle Grade, Young Adult, Historical Fiction, British Literature"
9262.0,0.152,A Great Reckoning,Louise Penny,4.43,66072,6370,"Mystery, Fiction, Audiobook, Mystery Thriller, Canada, Crime, Adult"
10851.0,0.151,Warrior of the Light,Paulo Coelho,3.69,37160,1948,"Fiction, Philosophy, Spirituality, Self Help, Inspirational, Novels, Literature"
13178.0,0.149,O Young Man,Darussalam,4.43,79,1,Islam
12049.0,0.148,The Complete Ivory,Doris Egan,4.18,278,25,"Fantasy, Science Fiction, Fiction, Science Fiction Fantasy, Adult, Romance"
4656.0,0.147,Dane,Liliana Hart,3.5,10815,729,"Romance, Erotica, Contemporary, Contemporary Romance, Erotic Romance, Novella, Short Stories"
834.0,0.145,Authority,Jeff VanderMeer,3.53,78967,8001,"Science Fiction, Fiction, Horror, Fantasy, Mystery, Audiobook, Science Fiction Fantasy"
11372.0,0.145,Dyslexic and Un-Stoppable: How Dyslexia Helps Us Create the Life of Our Dreams and How You Can Do It Too,Lucie M. Curtiss,4.0,11,2,
2007.0,0.143,Fame,Karen Kingsbury,4.33,15929,391,"Christian Fiction, Christian, Fiction, Romance, Christian Romance, Adult Fiction, Inspirational"
6649.0,0.142,The Farthest Shore,Ursula K. Le Guin,4.12,109005,3400,"Fantasy, Fiction, Young Adult, Classics, Science Fiction Fantasy, High Fantasy, Magic"
