algorithm,elapsed_time,iterations_done,total_iterations,iterations_per_second,book_index,similarity_score,,book_title,recommended_description
,,,,,72.0,0.279,,A Gracious Enemy,"The full story of the three Indochina Wars. Including warts and all. The first was the Indochinese People fighting against the French colonists and their suppliers and allies from the USA. The second was the people of Indochina (Cambodia, Laos & Vietnam) fighting against an allied coalition force made up of Australia, New Zealand, South Korea, Thailand, South Vietnam and the USA. The Second Indochina War is usually referred to as the Vietnam War. This book examines the re-adjustment of Vietnamese society after the uprising of the Tay Son Brothers in 1770, their stopping of the Trin and Nguyen families oppression of the Vietnamese people. The coming of the Catholic Church and how this affected the people is examined. As well the activities of Pineau de Bahrain, who was a missionary and the Bishop of Adran - he did much to ensure the French takeover of the majority of South East Asia. That was followed by the French takeover and full colonisation and rule by France. To better control the people, the French forbade the use of Chinese characters in writing and transcribed the entire Vietnamese language into the Latin alphabet, which was then taught in all schools. During WW2, Asian people saw that the Caucasian people could be beaten, That resulted in the First Indochina War, which ended with the French defeat at Dien Bien Phu. The Second Indochina War ended in 1975 with the withdrawal of the last American soldier from Vietnam. The Third Indochina War ended when the Vietnamese Army invaded Kampuchea, resulting in Vietnamese tanks entering its capital while the Pol Pot administration fled into the jungle."
,,,,,1344.0,0.236,,This Book Needs A Title: Volume 2,The second volume of poetry by Theodore Ficklestein.
,,,,,9779.0,0.226,,Vietnam - The Teenage Wasteland,"It is common knowledge that 58,000 young men and women died in Vietnam. What is not commonly known is what it was like there for these people who spent the rest of their lives in this for-boding place. And more importantly what did they really die for?Another peculiarity is what happened to all the hipies that the Dept. of Defense sent off to the killing fields - how did they fare? Did they fight or were they just being flower children in a combat zone.Tom Martiniano answers all questions you have ever had about vietnam in this rapid-paced page-turner. Learn the real stories of vietnam in this thrilling tale."
,,,,,7072.0,0.225,,Dispatches,"Written on the front lines in Vietnam, Dispatches became an immediate classic of war reportage when it was published in 1977.From its terrifying opening pages to its final eloquent words, Dispatches makes us see, in unforgettable and unflinching detail, the chaos and fervor of the war and the surreal insanity of life in that singular combat zone. Michael HerrÃ¢ÂÂs unsparing, unorthodox retellings of the day-to-day events in Vietnam take on the force of poetry, rendering clarity from one of the most incomprehensible and nightmarish events of our time.Dispatches is among the most blistering and compassionate accounts of war in our literature."
,,,,,5812.0,0.219,,Matterhorn,"A big, powerful saga of men in combat, written over the course of thirty-five years by a highly decorated Vietnam veteran.Intense, powerful, and compelling, Matterhorn is an epic war novel in the tradition of Norman Mailer's The Naked and the Dead and James Jones's The Thin Red Line. It is the timeless story of a young Marine lieutenant, Waino Mellas, and his comrades in Bravo Company, who are dropped into the mountain jungle of Vietnam as boys and forced to fight their way into manhood. Standing in their way are not merely the North Vietnamese but also monsoon rain and mud, leeches and tigers, disease and malnutrition. Almost as daunting, it turns out, are the obstacles they discover between each other: racial tension, competing ambitions, and duplicitous superior officers. But when the company finds itself surrounded and outnumbered by a massive enemy regiment, the Marines are thrust into the raw and all-consuming terror of combat. The experience will change them forever.Written over the course of thirty years by a highly decorated Vietnam veteran, Matterhorn is a visceral and spellbinding novel about what it is like to be a young man at war. It is an unforgettable novel that transforms the tragedy of Vietnam into a powerful and universal story of courage, camaraderie, and sacrifice: a parable not only of the war in Vietnam but of all war, and a testament to the redemptive power of literature.A graduate of Yale University and a Rhodes Scholar at Oxford University, Karl Marlantes served as a Marine in Vietnam, where he was awarded the Navy Cross, the Bronze Star, two Navy Commendation Medals for valor, two Purple Hearts, and ten air medals. This is his first novel. He lives in rural Washington State."
,,,,,5294.0,0.213,,The Best and the Brightest,"The Best and the Brightest is David Halberstam's masterpiece, the defining history of the making of the Vietnam tragedy. Using portraits of America's flawed policy makers and accounts of the forces that drove them, The Best and the Brightest reckons magnificently with the most important abiding question of our country's recent history: Why did America become mired in Vietnam and why did it lose? As the definitive single-volume answer to that question, this enthralling book has never been superseded. It's an American classic."
,,,,,10514.0,0.202,,A Bright Shining Lie: John Paul Vann and America in Vietnam,"This passionate, epic account of the Vietnam War centres on Lt Col John Paul Vann, whose story illuminates America's failures & disillusionment in SE Asia. A field adviser to the army when US involvement was just beginning, he quickly became appalled at the corruption of the S. Vietnamese regime, their incompetence in fighting the Communists & their brutal alienation of their own people. Finding his superiors too blinded by political lies to understand the war was being thrown away, he secretly briefed reporters on what was really happening. One of those reporters was Neil Sheehan.--Amazon (edited) Neil Sheehan was a Vietnam War correspondent for United Press International & the NY Times & won a number of awards for reporting. In 1971 he obtained the Pentagon Papers, which brought the Times the Pulitzer gold medal for meritorious public service. A Bright Shining Lie won the National Book Award & the Pulitzer Prize for Non-Fiction. He lives in Washington DC.MapsThe funeral Going to war Antecedents to a confrontation The Battle of Ap Bac Taking on the system Antecedents to the man A second time aroundJohn Vann staysAcknowledgmentsInterviewsDocumentsSource NotesBibliographyIndexAbout the Author"
,,,,,11572.0,0.2,,Pornography: Men Possessing Women,This volume presents a study of the damaging effect of pornography and its ramifications on society.
,,,,,7290.0,0.191,,War and Peace,"In Russia's struggle with Napoleon, Tolstoy saw a tragedy that involved all mankind. War and Peace broadly focuses on NapoleonÃ¢ÂÂs invasion of Russia in 1812 and follows three of the most well-known characters in literature: Pierre Bezukhov, the illegitimate son of a count who is fighting for his inheritance and yearning for spiritual fulfillment; Prince Andrei Bolkonsky, who leaves his family behind to fight in the war against Napoleon; and Natasha Rostov, the beautiful young daughter of a nobleman who intrigues both men.As NapoleonÃ¢ÂÂs army invades, Tolstoy brilliantly follows characters from diverse backgroundsÃ¢ÂÂpeasants and nobility, civilians and soldiersÃ¢ÂÂas they struggle with the problems unique to their era, their history, and their culture. And as the novel progresses, these characters transcend their specificity, becoming some of the most movingÃ¢ÂÂand humanÃ¢ÂÂfigures in world literature.Tolstoy gave his personal approval to this translation, published here in a new single volume edition, which includes an introduction by Henry Gifford, and Tolstoy's important essay `Some Words about War and Peace'."
,,,,,9385.0,0.187,,The Shadow of the Torturer,"The Shadow of the Torturer is the first volume in the four-volume series, The Book of the New Sun. It is the tale of young Severian, an apprentice in the Guild of Torturers on the world called Urth, exiled for committing the ultimate sin of his profession - showing mercy toward his victim - and follows his subsequent journey out of his home city of Nessus."
