algorithm,elapsed_time,iterations_done,total_iterations,iterations_per_second,book_index,book_title,description,similarity_score,recommended_description
bert,20.437073707580566,1375.0,13263.0,1648.0964725513945,,,,,
bert,20.65525984764099,2396.0,13263.0,1638.7939482785123,,,,,
bert,20.521170377731323,120.0,13263.0,1646.0055075695054,,,,,
bert,20.865182876586914,223.0,13263.0,1655.1719260453156,,,,,
bert,21.03091049194336,377.0,13263.0,1645.8051654250187,,,,,
bert,21.531771421432495,2266.0,13263.0,1653.5393567637375,,,,,
bert,22.011897802352905,3097.0,13263.0,1637.26612793426,,,,,
bert,21.979997158050537,2142.0,13263.0,1634.8756545271192,,,,,
bert,21.57875156402588,297.0,13263.0,1649.4391960206653,,,,,
bert,21.5553617477417,30.0,13263.0,1625.5657346071969,,,,,
