algorithm,elapsed_time,iterations_done,total_iterations,iterations_per_second,book_index,book_title,description,similarity_score,recommended_description
bow,4.530295133590698,262.0,13273.0,2960.624347744975,,,,,
bow,3.8594536781311035,399.0,13273.0,3498.414681088482,,,,,
bow,3.5695292949676514,29.0,13273.0,3729.465579364145,,,,,
bow,3.585616111755371,30.0,13273.0,3713.2819383051287,,,,,
bow,3.642087936401367,279.0,13273.0,3692.3083499126087,,,,,
bow,3.6097967624664307,238.0,13273.0,3718.8431880690264,,,,,
bow,3.62251353263855,211.0,13273.0,3702.489880984407,,,,,
bow,3.641840696334839,252.0,13273.0,3688.3613111541813,,,,,
bow,3.592334032058716,25.0,13273.0,3705.364255143605,,,,,
bow,3.5667724609375,2.0,13273.0,3728.5294092787753,,,,,
