algorithm,elapsed_time,iterations_done,total_iterations,iterations_per_second,book_index,book_title,description,similarity_score,recommended_description
fasttext,14.259310960769653,2183.0,13263.0,952.2246729733895,,,,,
fasttext,13.223053216934204,1759.0,13263.0,1023.4010517349344,,,,,
fasttext,13.025714874267578,452.0,13263.0,1023.7143411899731,,,,,
fasttext,13.27653694152832,2178.0,13263.0,1024.121630972822,,,,,
fasttext,13.536602973937988,3301.0,13263.0,1016.5397271230587,,,,,
fasttext,13.193594932556152,1335.0,13263.0,1020.6487552698791,,,,,
fasttext,13.287755012512207,2405.0,13263.0,1025.7667654361207,,,,,
fasttext,13.651397705078125,4066.0,13263.0,1016.4096947291382,,,,,
fasttext,13.034927129745483,837.0,13263.0,1027.4943538012656,,,,,
fasttext,13.23686146736145,1801.0,13263.0,1022.5470392872085,,,,,
