algorithm,elapsed_time,iterations_done,total_iterations,iterations_per_second,book_index,book_title,description,similarity_score,recommended_description
glove,5.2049596309661865,1420.0,13263.0,2652.7875917434003,,,,,
glove,4.417556285858154,2559.0,13263.0,3265.418782670152,,,,,
glove,4.232525110244751,525.0,13263.0,3190.481887498931,,,,,
glove,4.478001594543457,1987.0,13263.0,3157.20652744112,,,,,
glove,4.825619697570801,5255.0,13263.0,3243.4521267828286,,,,,
glove,4.697055101394653,3583.0,13263.0,3160.6438296086853,,,,,
glove,4.751393795013428,3871.0,13263.0,3172.9789441346575,,,,,
glove,4.936983346939087,5337.0,13263.0,3166.1226712125745,,,,,
glove,4.398471832275391,1734.0,13263.0,3191.927376363786,,,,,
glove,4.515635251998901,2271.0,13263.0,3183.6485961347457,,,,,
