algorithm,elapsed_time,iterations_done,total_iterations,iterations_per_second,book_index,book_title,description,similarity_score,recommended_description
lsa,4.428338050842285,231.0,13263.0,3019.5317552071797,,,,,
lsa,3.40195369720459,131.0,13263.0,3921.804110766378,,,,,
lsa,3.391899585723877,138.0,13263.0,3934.3302890731684,,,,,
lsa,3.364938974380493,112.0,13263.0,3961.558904711102,,,,,
lsa,3.490581512451172,218.0,13263.0,3834.4336030303225,,,,,
lsa,3.4002978801727295,218.0,13263.0,3937.044571244804,,,,,
lsa,3.376832962036133,137.0,13263.0,3951.667503613248,,,,,
lsa,3.5143814086914062,279.0,13263.0,3817.444277575671,,,,,
lsa,3.3321926593780518,121.0,13263.0,4002.2652754883093,,,,,
lsa,3.3125545978546143,13.0,13263.0,4008.1881371609024,,,,,
