book_index,paragraph_index,similarity_score,recommended_book,recommended_text
34,797,0.996,"Habitats and Biota of the Gulf of Mexico: Before the Deepwater Horizon Oil Spill: Volume 2: Fish Resources, Fisheries, Sea Turtles, Avian Resources, Marine Mammals, Diseases and Mortalities","the tortoiseshell markets of Asia, Europe, the Caribbean, and the USA over the past 100 years (NMFS and USFWS 2007e). Japan was historically the major importer of tortoiseshell or bekko from the Caribbean (NMFS and USFWS 1993). They agreed to stop importing bekko in 1993 (USFWS 2012). Although the volume of international trade has declined significantly in the past 20 years, it remains active, especially in Southeast Asia and the Americas (Mortimer 2008). In Southeast Asia, the extensive practice of selling whole, stuffed hawksbills is a relatively new threat (Mortimer 2008). Hawksbills are the most tropical of the sea turtle species and typically nest at low densities throughout their range (NMFS and USFWS 1993, 2007e). In the past, hawksbill sea turtles were considered to be naturally rare and to have a more dispersed nesting pattern than the other sea turtle species (Groombridge and Luxmoore 1989). However, the dispersed pattern currently observed is now believed to be the result of overexploitation of previously large colonies (Meylan and Donnelly 1999). Hawksbill sea turtles are often associated with coral reefs (Meylan 1988; Meylan and Redlow 2006). There are many gaps in the understanding of hawksbill sea turtle biology, and the oceanic phase of the post-hatchlings remains one of the most poorly understood aspects of hawksbill life history (NMFS and USFWS 2007e). Because of an almost total lack of long-term trend data at hawksbill foraging sites, nesting beach data are the primary information source used to evaluate trends in hawksbill populations. Few data are available on the at-sea mortality of hawksbills in fisheries (NMFS and USFWS 2007e)."
246,305,0.991,Rewilding European Landscapes,"Danube Delta: Europeâs Unrivalled Wetland The Danube Delta on the border between Romania and Ukraine is outstanding in Europeâdue to its size (over 600,000 ha), intact river dynamics, unexploited coastline (shaped by the Danube River and the Black Sea together), wide horizons and large-scale landscapes without significant infrastructure (Fig. 9.7). It also has the largest reed beds in the world, in addition to millions of nesting and migrating birds, many of them rare and some even globally endangered. However, some of the key wildlife species are still missing, such as wolf, red deer and beaver. Due to poisoning, numbers of species like black kites ( Milvus migrans), golden jackals ( Canis aureus) or vultures are extremely low. Apart from legal enforcement, giving value to these species as part of the wildlife watching economy should stimulate social control to avoid these illegal practices."
34,866,0.99,"Habitats and Biota of the Gulf of Mexico: Before the Deepwater Horizon Oil Spill: Volume 2: Fish Resources, Fisheries, Sea Turtles, Avian Resources, Marine Mammals, Diseases and Mortalities","et al. 2009; Kot et al. 2010; Bolten et al. 2011; Finkbeiner et al. 2011; Ponwith 2011). Despite the data gaps and limitations associated with specific datasets, the current conditions of the five species of sea turtles that occur in the Gulf of Mexico have been described qualitatively, and sometimes quantitatively. Kempâs Ridley Sea Turtles. In the Gulf of Mexico, the Kempâs ridley sea turtle has made a remarkable recovery from the brink of extinction (Heppell et al. 2007; Crowder and Heppell 2011), although the current nesting populations remain far below historical levels. The increased abundance and nesting of Kempâs ridleys in the Gulf of Mexico in recent years is most likely a result of many activities that affect all Kempâs ridley life stagesâconservation and education efforts in both Mexico and the United States, the Kempâs Ridley Recovery Program, the Kempâs Ridley Head Start Experiment, the elimination of direct harvest of eggs and adult turtles, nest and hatchling protection, TED use, shrimp fishery closures, and the reduced Gulf of Mexico shrimp trawling effort in both the United States and Mexico (Shaver and Wibbels 2007; NMFS et al. 2011; Crowder and Heppell 2011). Despite the partial success story, there are threats to Kempâs ridleys in the Gulf that could cause significant impacts to the population and affect its continued recovery, particularly the incidental bycatch. The future of Kempâs ridleys is optimistically bright, and nesting numbers at Rancho Nuevo and PAIS continue to increase; however, because of their mass nesting at a single site in the western Gulf and their restricted Gulf of Mexico distribution, a significant event or the synergistic effects of multiple threats in the Gulf could have catastrophic effects on the recovering Kempâs ridley population. Loggerhead Sea Turtles. The life history, distribution, and abundance of the loggerhead sea turtle is probably better understood than all other sea turtle species that inhabit the Gulf of Mexico (Bolten and Witherington 2003; USFWS and NMFS 2011). While the loggerhead is distributed globally, the goal of this chapter was to describe contemporary conditions of Gulf sea turtles; information for populations that occur in the Gulf of Mexico during some portion of their life cycle was the focus. These populations included the Peninsular Florida, northern Gulf of Mexico, Dry Tortugas, and Greater Caribbean subpopulations of the Northwest Atlantic Ocean DPS (USFWS and NMFS 2011). The annual nest counts from 2001 through 2009 on Florida Gulf coast and Atlantic beaches showed a decreasing trend, but in 2010 and 2011, loggerhead nest counts on surveyed Florida beaches were back to numbers similar to those recorded in 2000, indicating that the population of nesting females may have stabilized. Given the lack of a long historical record, it is not known whether these types of fluctuations are common or if the recent temporary decrease observed was caused by an acute factor. A recent analysis of annual loggerhead nest counts for the northern Gulf of Mexico subpopulation indicated a significant declining trend; however, a longer time series of nesting data is needed for an adequate evaluation (NMFS and USFWS 2008). More years of data are also needed in order to detect a trend in loggerhead nest counts for the Dry Tortugas subpopulation. Nesting for the Greater Caribbean subpopulation appears to be stable; however, a trend analysis is challenging because standardized surveys are few, survey efforts have changed, and low-level nesting occurs in many locations (NMFS and USFWS 2008). High cumulative anthropogenic threat levels were estimated for oceanic and neritic juveniles and adults of the Northwest Atlantic Ocean DPS during the most recent loggerhead status review (Conant et al. 2009; Bolten et al. 2011). The loggerhead mortalities associated with these high threat levels resulted primarily from fisheries bycatch. Significant loggerhead mortality occurred in longline fisheries, bottom and mid-water trawl fisheries, dredge fisheries, gillnet fisheries, and pot/trap fisheries that occur not only in U.S. waters (Conant et al. 2009; Bolten et al. 2011; Ponwith 2011), but also in the Azores, the Mediterranean, on the Grand Banks, in Canadian waters, and in other locations throughout the range of the northwest Atlantic Ocean"
34,929,0.99,"Habitats and Biota of the Gulf of Mexico: Before the Deepwater Horizon Oil Spill: Volume 2: Fish Resources, Fisheries, Sea Turtles, Avian Resources, Marine Mammals, Diseases and Mortalities","it clear that the highest species diversity is in the southern Gulf, along the YucataÌn Peninsula (although not in the sector with Cuba). A number of non-Passerine species (N Â¼ 93) occurred in all 12 sectors of the Gulf of Mexico (Table 12.4). Only the non-Passerines are listed because they are more typical of the species that inhabit the coastal and marine areas. The non-Passerines that are distributed throughout the Gulf include ducks, grebes, loons, boobies, pelicans, herons, egrets, ibises, spoonbills, storks, rails, shorebirds, gulls, terns, skimmers, and a kingfisher. As might be expected, shorebirds (N Â¼ 31 species), ducks (N Â¼ 10 species), herons and egrets (N Â¼ 10), and gulls and terns (N Â¼ 13) are the most diverse groups. Scientific names in Table 12.4 are not repeated in the text that follows this section. While the non-Passerines are normally considered the key avian component of the Gulf, Passerines are important because millions migrate around or over the Gulf each spring and fall, and others reside in the coastal environment (e.g., Seaside Sparrows, Moore 2000b). Although Gallardo et al. (2009) lists Passerine species found throughout the Gulf, their list is necessarily incomplete because the marsh, shrub, and forest habitats are continuous landward, and it is difficult to draw a suitable line for which species to include. Moreover, the distribution of Nearctic-Neotropical migrants along the southern Gulf of Mexico may be less well known than the distribution along the northern Gulf coast. Some raptors that prey on migrants may be"
34,348,0.989,"Habitats and Biota of the Gulf of Mexico: Before the Deepwater Horizon Oil Spill: Volume 2: Fish Resources, Fisheries, Sea Turtles, Avian Resources, Marine Mammals, Diseases and Mortalities","9.4.4 Large Coastal Sharks Group Currently, the Large Coastal Sharks group consists of 11 shark species that are widely distributed throughout the world (SEDAR 29 2012). In the western Atlantic Ocean, they can be found from along the U.S. Atlantic coast all the way to the south of Brazil. All of the Large Coastal Sharks can be found in the Gulf of Mexico (SEDAR 29 2012). They are considered either as part of the South Atlantic stock or as an independent stock in the assessment and management. Most species of Large Coastal Sharks use the inshore shallow waters of the northern Gulf of Mexico as their spawning and nursery grounds. They tend to move into the inshore shallow waters in the Gulf of Mexico during the spring to give birth to their offspring. The inshore shallow waters provide refuges for their newborn offspring from potential predators (usually large sharks). The young sharks spend summers in the inshore waters for feeding. The preferred bottoms range from sand to mud to seagrass. Young-of-the-year sharks tend to occur more frequently in shallower water with higher temperatures, lower salinities, and more turbid conditions compared to the habitats for juveniles and adults. Small and young sharks may select these habitats as a refuge from larger and more active predators (Bethea et al. 2009). Most sharks move into warmer offshore waters in the fall. Compared to species of Small Coastal Sharks, most of the Large Coastal Sharks tend to become sexually mature at a later age. The Large Coastal Sharks group supports several important commercial and recreational fisheries in the Gulf of Mexico (SEDAR 29 2012). Although most species are not overfished and overfishing is not occurring, most stock abundances have been reduced over time. The catch quota for the Large Coastal Sharks stocks has been reduced continuously over time since the 1990s but has become relatively stable since the mid-2000s (Figure 9.75), perhaps reflecting a stabilized Large Coastal Sharks group. Sandbar and blacktip sharks are two of the most abundant and most commercially and recreationally important shark species in the Gulf of Mexico (SEDAR 29 2012). They both belong to the Large Coastal Sharks group and are widely distributed in the Gulf of Mexico. As top predators that are abundant in Gulf of Mexico coastal ecosystems, sandbar and blacktip sharks play an important role in regulating the ecosystem dynamics of the Gulf of Mexico; therefore, they were selected as representative species for evaluation."
230,118,0.988,Marine Anthropogenic Litter,"Abstract In this review we report new findings concerning interaction between marine debris and wildlife. Deleterious effects and consequences of entanglement, consumption and smothering are highlighted and discussed. The number of species known to have been affected by either entanglement or ingestion of plastic debris has doubled since 1997, from 267 to 557 species among all groups of wildlife. For marine turtles the number of affected species increased from 86 to 100 % (now 7 of 7 species), for marine mammals from 43 to 66 % (now 81 of 123 species) and for seabirds from 44 to 50 % of species (now 203 of 406 species). Strong increases in records were also listed for fish and invertebrates, groups that were previously not considered in detail. In future records of interactions between marine debris and wildlife we recommend to focus on standardized data on frequency of occurrence and quantities of debris ingested. In combination with dedicated impact studies in the wild or experiments, this will allow more detailed assessments of the deleterious effects of marine debris on individuals and populations. Keywords Marine debris Â· Plastic litter Â· Entanglement Â· Ingestion Â· Harm Â· Review"
34,804,0.988,"Habitats and Biota of the Gulf of Mexico: Before the Deepwater Horizon Oil Spill: Volume 2: Fish Resources, Fisheries, Sea Turtles, Avian Resources, Marine Mammals, Diseases and Mortalities","Similar to other species of sea turtles, hatchling hawksbills enter an oceanic phase (Figure 11.44). This phase may involve long-distance travel carried by surface gyres, with eventual recruitment to neritic foraging habitat (NMFS and USFWS 2007e). Hatchlings entrained in the Loop Current could be expected to remain in the Gulf of Mexico for differing periods of time, depending on which branch of the Loop Current they enter (Meylan and Redlow 2006). Both newly hatched and early juvenile hawksbills have been found in association with Sargassum and floating weed in the Atlantic and Caribbean (Table 11.5) (Carr 1987; Mellgren and Mann 1996; Musick and Limpus 1997; Meylan and Redlow 2006). No post-hatchlings but six juvenile hawksbill sea turtles, with an average size of 20.6 cm (8.1 in) SCL, were captured from the Sargassum-dominated, surface-pelagic drift community in the eastern Gulf of Mexico and Atlantic Ocean from 2005 through 2011; some of these hawksbills were large enough to be on the cusp of recruitment into the neritic zone, most likely to foraging habitat in the Florida Keys (Witherington et al. 2012). Weedlines in the Gulf of Mexico likely serve as habitat for posthatchling hawksbills from nesting beaches in Mexico and Central America (NMFS and USFWS 1993). Between 1972 and 1984, 77 strandings of post-hatchling and juvenile hawksbills were recorded in Texas, with most occurring near Corpus Christi; these turtles most likely originated from nesting beaches on the YucataÌn Peninsula in Mexico (Amos 1989; Bowen et al. 2007). Limited tagging data indicates that some post-hatchling hawksbills from the western Gulf of Mexico disperse into the Atlantic Ocean, most likely through the Florida Straits, and move northward along Floridaâs east coast (Meylan and Redlow 2006)."
255,54,0.988,Railway Ecology,"Hels and Buchwald 2001; Carvalho and Mira 2011), records for railways are much rarer (van der Grift and Kuijsters 1998). Unfortunately, there are no studies that compare detectability and persistence rates of carcasses between road and railway surveys, so the difference in numbers remains an open question. Considering only the studies that aimed to survey train casualties of all species, the frequency of amphibians can reach up to 47% of all vertebrate records (Heske 2015), while the records of reptiles represent ca. 4% (Spain) and 6% (USA) of carcasses (Heske 2015; SCV 1996). In Netherlands, for example, no carcasses of amphibians or reptiles were ever found (van der Grift and Kuijsters 1998), while in Spain, only reptiles were recorded (SCV 1996). In Chicago state, USA, amphibians were the most abundant taxonomic group recorded in train collisions (Heske 2015), mainly northern leopard frogs (Lithobates pipiens) and American toads (Bufo americanus), common species in the region. Mortalities of amphibians were particularly high after rain events, when these species are most active and are also frequently found dead on the roads (Heske 2015). Budzic and Budzic (2014) conducted a survey speciï¬cally aimed to estimate amphibian mortality on 34 km of Polish railways. They found that three species were most affected by train accidents: the common toad (Bufo bufo), the common frog (Rana temporaria) and the green frog (Pelophylax kl. esculentus), and most of dead individuals (77%) were adult common toads. Although mortality rates can be high, all three species are considered common in Europe. In fact, two of the species affected by railway mortality (common toad and common frog), are among the most common European amphibians, for which there is also evidence of high road-mortality (Hels and Buchwald 2001; Matos et al. 2012; OrÅowski 2007). As in roads, the spring migration (or autumn migration, in some regions) seems to be the period of highest amphibian mortality on railway tracks, as 87% of all accidents occurred in that season (Budzic and Budzic 2014). Yet, railway mortality of amphibians seems to depend on animalsâ physical features (such as body size and limb length) and should be associated with the agility of the species (Budzic and Budzic 2014). While in the case of roads, the velocity of individuals is used as a proxy for agility (Hels and Buchwald 2001), in the case of railway tracks, agility relates mainly to the ability to overcome obstacles (Budzic and Budzic 2014; SCV 1996). Due to its physical features, the common toad was more likely to become trapped between rails, indicating that this species (and others with similar physical features) may be more vulnerable to railway mortality (Budzic and Budzic 2014). Some species of small size may be less vulnerable because they cannot cross the rail track (Heske 2015). However, they may be affected by railways at the level of gene flow due to barrier effects (Holderegger and Di Giulio 2010), which may be also a conservation problem. Concerning reptile mortality, 13 snakes (4%) were recorded across the whole Spanish railway network between 1990 and 1995. Only two species were identiï¬ed: the ladder snake (Elaphe scalaris) and the Montpellier snake (Malpolon monspessulanus), both common reptiles in the country (SCV 1996). The railway bed may be lethal itself for smaller animals that can become trapped between the rails, where they may be susceptible to predation or physiological"
233,547,0.988,Biodiversity Conservation and Phylogenetic Systematics : Preserving Our Evolutionary Heritage in An Extinction Crisis (Volume 14.0),"Results We found 40 Least Concern and Data Deï¬cient species that possess a high combined score of Î»M and ED (see Table 1). In total, 42 of the island mammal species we assessed were listed by the IUCN as Data Deï¬cient, 47 as Least Concern, with the remainder as threatened species. Those species already listed as threatened were potentially suffering from other threats (e.g. non-native species as predators/competitors). Focusing on those species that are Data Deï¬cient or Least Concern and have higher Î»M-ED scores would be most beneï¬cial, as their rarity indicate them to be at risk and a high Î»M value represents an important patch, and one that would pay off greatly to conserve. The ï¬ve islands with the highest average Î»M-ED scores, taken by adding all the scores and dividing by our (island-restricted mammals) species richness per island were Jamaica, Guadalcanal, Isle of Pines, Madagascar, and Nggela Sule (see Table 2, Fig. 3 for map). Interestingly, Madagascar held 39 of the highest Î»M-ED species, and ranked fourth in our Î»M-ED islands list. We found that combining evolutionary distinctness with Î»M revealed species that may be of concern that were not otherwise noticed. Because quantifying fragmentation effects on species takes into account spatial conï¬guration, this can help to improve threat status assessments. The EDGE programme has already sought to visualize regions in the world with the most rare species and moved to prioritize those particular species. This adds a spatial understanding of the species distribution to that prioritization."
34,1222,0.988,"Habitats and Biota of the Gulf of Mexico: Before the Deepwater Horizon Oil Spill: Volume 2: Fish Resources, Fisheries, Sea Turtles, Avian Resources, Marine Mammals, Diseases and Mortalities","that bay animals also travel outside of their major habitats and interact and mate with animals outside of these bays as well. Most populations or subpopulations have not been well studied, with the most notable exceptions being those of the Sarasota-Bradenton, Florida, area (Wells 2003) and Sanibel Island (Shane 2004) of west Florida. Similarly, dolphin populations are known in the north-central Gulf (Mullin 1988) and off Texas (Shane 1977; Moreno 2005) as well, but none has been followed for as long or as thoroughly as the subject of the Wells (2003) study. Bottlenose dolphins of the inshore areas of the northern Gulf of Mexico number about 28â32 separate stocks (that are not necessarily distinguished as genetic populations), with an estimated total of 5,355 (no reliable CV available) animals (Table 13.22). Three coastal stocks outside of bays and estuaries and up to 20 m (66 ft) deep, total approximately 13,600 animals (see details, below). The northern continental shelf stock between 20 m and 200 m (66 ft and 656 ft) totals about 17,777 (CV 0.32). The northern oceanic stock deeper than 200 m (656 ft) totals about 3,708 (CV 0.42). Details of these groupings are given below. Anthropogenic influences on this species will be discussed, including toxins, noises, and other aspects, since more is known about these dolphins and their ecology than is known about other cetaceans in the Gulf, largely due to work by Randall Wells and colleagues, which is summarized in Reynolds et al. (2000) and Wells and Scott (2009) (Figure 13.51). Northern Gulf of Mexico Bay, Sound, and Estuarine Stock (Often Divided into Communities)"
