book_index,paragraph_index,similarity_score,recommended_book,recommended_text
314,52,0.431,Building a Resilient and Sustainable Agriculture in Sub-Saharan Africa,Appendix Table 2.3 Mean difference and mean square deviation testing of farm yields â¢ Hypotheses and decision rule of mean difference and mean square deviation testing of physical yields Mean difference testing H0: Mean (rdNA) = Mean (rdA) Diff = 0 H1: * Bilateral Mean (rdNA) # Mean (rdA) Diff # 0 H1: *Unilateral Mean (rdNA) < Mean (rdA) Diff < 0 Mean (rdNA) > Mean (rdA) Diff > 0
297,332,0.302,The R Book,"The harmonic mean is the reciprocal of the average of the reciprocals. The average of our reciprocals is: 1 1 1 1 + + + = = 0.6875. 1 2 4 1 The reciprocal of this average is the harmonic mean = 1.4545. 0.6875 In symbols, therefore, the harmonic mean, yÌ (y-curl), is given by yÌ = "
241,657,0.302,Second Assessment of Climate Change for the Baltic Sea Basin,"et al. 2007). For instance, in winter, model results tend to be too wet in northern Europe, too warm in summer and winter, and too cold in spring and autumn (Jacob et al. 2007). On the one hand, RCMs generally overestimate the number of wet days; this âdrizzle effectâ is partly because RCMs simulate area averages rather than point values. While on the other, RCMs underestimate heavy precipitation events (e.g. Fowler et al. 2007b). Generally, bias is different in different part of the distribution (e.g. Jeong et al. 2011; Fig. 10.6). A major advantage of RCMs is the simulation of spatially coherent ï¬elds. In general, RCMs with a typical resolution of 25 km overestimate the spatial coherence of precipitation events, in particular for convective precipitation. It should be noted that RCMs provide meaningful information only on the scale of a few grid cells (e.g. Fowler and EkstrÃ¶m 2009). In particular, local precipitation is dominated by internal climate variability (Maraun 2012). As RCMs integrate the equations governing the atmospheric circulation, they in principle provide a coherent picture. However, biases in one variable may propagate into strong biases in dependant variables (e.g. Fig. 10.7); for example, Yang et al. (2010) have shown for Sweden that small temperature biases may, via the nonlinear interaction with precipitation around the melting point, lead to large biases in spring river run-off. Inconsistencies arise in particular where parameterisations come into play. For example, Graham et al. (2007b) have shown for the drainage areas"
376,402,0.288,"Rangeland Systems : Processes, Management and Challenges","percolates beneath upper soil layers where it is most susceptible to evaporation. Greater percolation to depth should increase ANPP by reducing the frequency or duration of periods during which soil water content remains below the lower stress threshold. Consistent with the soil water bucket model, it was found that delivering the same total of precipitation as fewer, but larger events increased ANPP by 30 % in semiarid shortgrass steppe, but decreased ANPP by 10â18 % in tallgrass prairie (Knapp et al. 2002; Heisler-White et al. 2009). Corollary 3 Precipitation regulates the response of productivity to CO2 but not to warming. The ANPP response to CO2 varies as a function of precipitation when considered across ecosystems. The ANPP-CO2 response peaks at âmoderateâ levels of annual precipitation (300â400 mm) across desert and grassland ecosystems (Fig. 7.5; Nowak et al. 2004; Morgan et al. 2004b). Productivity responds relatively little to CO2 when precipitation is very low because water stress inhibits growth and may contribute to plant senescence and mortality if it becomes sufficiently severe. The benefits of elevated CO2 on productivity are reduced when annual precipitation is >400 mm partly because the efficient use of water use is no longer a critical variable (Nowak et al. 2004; Morgan et al. 2004b). Therefore, the average across-ecosystem response of NPP to CO2 likely will be greatest in systems in which NPP is or will become moderately water limited (Nowak et al. 2004; Morgan et al. 2004b, 2011; Webb et al. 2012)."
241,307,0.285,Second Assessment of Climate Change for the Baltic Sea Basin,"Fig. 4.12 Annual and seasonal mean surface temperatures (Â°C) in Stockholm 1756â2011, calculated from the homogenised daily mean temperature series by Moberg et al. (2002) after a correction for a suspected positive bias in summer temperature before 1859 (Moberg et al. 2003). The correction is the same as used by Moberg et al. (2005). Smoothed curves (Gaussian ï¬lter, Ï = 3) highlight variability on timescales longer than 10 years"
320,17,0.283,Managing Protected Areas in Central and Eastern Europe Under Climate Change,"Location of the investigation areas within Central and Eastern Europe . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . Left: Slice of a stalagmite from a cave in Austria; Right: Horizontal cross section of a tree (Larix decidua) in Savoyen grown in 1746, cut in 1999 . . . .. . .. . . .. . . .. . . .. . .. . . .. . . .. . . .. . . .. . .. . . Growing season length (GSL) and number of frost days (FD) in Laa an der Thaya, near the National park Thayatal in Austria for the time period 1952â2009. . . . . . . . . . . . . . . . . . . . . . . . . . . . Change of simulated mean temperature in Central and Eastern Europe in winter and summer as the multi-model mean 2036â2065 relative to 1971â2000 for the A1B greenhouse gas emission scenario . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . Change of simulated mean precipitation in Central and Eastern Europe in winter and summer as the multi-model mean 2036â2065 relative to 1971â2000 for the A1B greenhouse gas emission scenario . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."
230,264,0.279,Marine Anthropogenic Litter,Zettler et al. (2013) Zettler et al. (2013) Zettler et al. (2013) Zettler et al. (2013) Zettler et al. (2013) Zettler et al. (2013) Zettler et al. (2013) Zettler et al. (2013) Zettler et al. (2013) Zettler et al. (2013) Zettler et al. (2013) (continued)
241,1366,0.274,Second Assessment of Climate Change for the Baltic Sea Basin,"Fig. 24.5 Observed change in mean global temperature to 2009 and projected change in mean global temperature under various future scenarios, all relative to the 1890â1910 mean. Shaded areas show zones beyond 1.5 Â°C (yellow) and 2 Â°C (pink) (UNEP 2011)"
260,63,0.271,Ranaviruses : Lethal Pathogens of Ectothermic Vertebrates,"References StÃ¶hr et al. (2015) Marschang et al. (2013) Marschang et al. (2013) Marschang et al. (2013) Alves de Matos et al. (2011) MÃ¼ller et al. (1988) Heldstab and Bestetti (1982), Marschang et al. (1999) Marschang et al. (2013) Marschang et al. (2013) USGS (2005, 2008), Goodman et al. (2013) Johnson et al. (2008) Mao et al. (1997), De Voe et al. (2004), Allender et al. (2006), Johnson et al. (2008), Ruder et al. (2010), Farnsworth (2012), Sim et al. (2012), Allender (personal communication), Currylow et al. (2014), Kimble et al. (2014) Allender (personal communication) Johnson et al. (2008) Westhouse et al. (1996), Johnson et al. (2008) Mao et al. (1997)"
241,718,0.271,Second Assessment of Climate Change for the Baltic Sea Basin,"It is likely that changes in precipitation extremes of a shorter duration may exceed those for longer time scales, as indicated by Lenderink and van Meijgaard (2010). They showed that the change in hourly precipitation extremes in one RCM considerably exceeded the prediction from the theoretical ClausiusâClapeyron relation that sets an upper bound on the water vapour content of the atmosphere. As an example of changes in daily precipitation, Nikulin et al. (2011) investigated an ensemble of RCM simulations with the RCA model and showed that the 20-year return value of precipitation extremes in the 1961â1990 period was Fig. 11.6 Projected change in extreme precipitation calculated as 10-year return values for 2070â 2099 relative to 1961â1990 using the SRES A1B scenario as simulated by 13 RCM models from the ENSEMBLES project. Left column winter (DJF), right column summer (JJA). Upper row 5th percentile (corresponding to the lowest model result), middle row 50th percentile (corresponding to the median model result) and lower row 95th percentile (corresponding to the highest model result). The red line indicates the Baltic Sea catchment area"
