algorithm,elapsed_time,iterations_done,total_iterations,iterations_per_second
bert,72.92499494552612,182,45163,1662.057053601848
bert,74.45703339576721,602,45086,1646.8891151787216
bert,74.69818687438965,380,45104,1658.2071227094248
bert,75.33336567878723,1560,45355,1649.4916281990818
bert,74.66598677635193,329,45127,1658.680955620527
bert,73.74396252632141,1561,45088,1677.3997809114444
bert,75.53673529624939,1031,45401,1645.2566326552123
bert,74.70053029060364,1802,45194,1647.3085531163429
bert,75.40133428573608,2488,45231,1648.318750840287
bert,73.10155606269836,204,44856,1665.5322771223853
