algorithm,elapsed_time,iterations_done,total_iterations,iterations_per_second
bow,15.891040086746216,54,45461,2866.3697193953803
bow,15.344603061676025,689,45461,2990.7151316303766
bow,15.142422437667847,39,45461,3007.7713258285403
bow,15.161408185958862,156,45461,3008.636070294856
bow,15.4005708694458,135,45461,2960.9355259893227
bow,15.059699535369873,40,45461,3024.3768337709685
bow,15.063741683959961,104,45461,3025.1596726637445
bow,15.0996675491333,236,45461,3021.7530709158355
bow,15.282833576202393,48,45461,2980.3261278988457
bow,15.10962724685669,146,45461,3017.8893577524636
