algorithm,elapsed_time,iterations_done,total_iterations,iterations_per_second
fasttext,50.82472229003906,10428,45163,922.476897771471
fasttext,48.093234062194824,277,45086,938.6147038863941
fasttext,50.752891540527344,12139,45104,928.330195008146
fasttext,51.74169731140137,18390,45355,935.8251573826308
fasttext,48.8403160572052,1307,45127,928.5363542716163
fasttext,50.753150939941406,13952,45088,933.7952073955296
fasttext,50.38970351219177,11111,45401,937.7062819530695
fasttext,48.521716833114624,1111,45194,935.3596168584475
fasttext,51.41677522659302,16037,45231,932.0985126225884
fasttext,48.2600679397583,274,44856,930.5841679157572
