algorithm,elapsed_time,iterations_done,total_iterations,iterations_per_second
lsa,13.797931671142578,128,45163,3279.729075181382
lsa,13.523536920547485,231,45086,3344.9631957167353
lsa,13.057831048965454,201,45104,3464.5735807702317
lsa,13.278293132781982,524,45355,3440.2402720079303
lsa,13.06276822090149,87,45127,3459.8161002884876
lsa,13.108107805252075,89,45088,3444.9745808112652
lsa,13.233797550201416,153,45401,3438.7023789786863
lsa,13.13806414604187,312,45194,3455.1234739994165
lsa,13.116585493087769,246,45231,3460.789033619056
lsa,13.16740345954895,193,44856,3416.450885943383
