Algorithm,Index,Title,Similarity
1. TF-IDF + cosine,58,Uses of Technology in Lower Secondary Mathematics Education : a Concise Topical Survey,0.648
1. TF-IDF + cosine,11,Theories in and of Mathematics Education,0.578
1. TF-IDF + cosine,337,Transitions in Mathematics Education,0.559
1. TF-IDF + cosine,94,Semiotics in Mathematics Education,0.532
1. TF-IDF + cosine,9,Research on Teaching and Learning Probability,0.486
1. TF-IDF + cosine,150,The Philosophy of Mathematics Education,0.473
1. TF-IDF + cosine,141,Problem Solving in Mathematics Education,0.456
1. TF-IDF + cosine,104,Proceedings of The 13Th international Congress On Mathematical Education : Icme-13,0.447
1. TF-IDF + cosine,147,Design Science and Its Importance in the German Mathematics Educational Discussion,0.443
1. TF-IDF + cosine,88,"Attitudes, Beliefs, Motivation and Identity in Mathematics Education : An Overview of The Field and Future Directions",0.391
1. TF-IDF + cosine,108,Assessment in Mathematics Education : Large-Scale Assessment and Classroom Assessment,0.385
1. TF-IDF + cosine,92,"The Troika of Adult Learners, Lifelong Learning, and Mathematics",0.336
1. TF-IDF + cosine,163,international Comparative Studies in Mathematics : Lessons For Improving Students’ Learning,0.324
1. TF-IDF + cosine,142,"Early Algebra : Research into Its Nature, Its Learning, Its Teaching",0.321
1. TF-IDF + cosine,118,Teaching and Learning About Whole Numbers in Primary School,0.305
1. TF-IDF + cosine,230,The Academic Book of the Future,0.29
1. TF-IDF + cosine,73,The European Higher Education Area : Between Critical Reflections and Future Policies,0.281
1. TF-IDF + cosine,139,The Proceedings of The 12Th international Congress On Mathematical Education : intellectual and Attitudinal Challenges,0.27
1. TF-IDF + cosine,62,Mergers and Alliances in Higher Education : international Practice and Emerging Opportunities,0.265
1. TF-IDF + cosine,45,The Mathematics Education of Prospective Secondary Teachers Around the World,0.261
2. LSA,58,Uses of Technology in Lower Secondary Mathematics Education : a Concise Topical Survey,0.942
2. LSA,94,Semiotics in Mathematics Education,0.854
2. LSA,11,Theories in and of Mathematics Education,0.831
2. LSA,337,Transitions in Mathematics Education,0.831
2. LSA,141,Problem Solving in Mathematics Education,0.789
2. LSA,147,Design Science and Its Importance in the German Mathematics Educational Discussion,0.786
2. LSA,104,Proceedings of The 13Th international Congress On Mathematical Education : Icme-13,0.738
2. LSA,150,The Philosophy of Mathematics Education,0.69
2. LSA,88,"Attitudes, Beliefs, Motivation and Identity in Mathematics Education : An Overview of The Field and Future Directions",0.683
