algorithm,book_title,recommended_title,similarity
1. TF-IDF + cosine,Advances in Discrete Differential Geometry,Finite Difference Computing With Pdes : a Modern Software Approach,0.149
2. LSA,Advances in Discrete Differential Geometry,Finite Difference Computing With Pdes : a Modern Software Approach,0.484
2. LSA,Advances in Discrete Differential Geometry,Advances in Proof-Theoretic Semantics (Volume 43.0),0.397
2. LSA,Advances in Discrete Differential Geometry,Advances in Production Technology,0.349
2. LSA,Advances in Discrete Differential Geometry,Interferometry and Synthesis in Radio Astronomy : Third Edition (Edition 3),0.263
2. LSA,Advances in Discrete Differential Geometry,Information Infrastructures within European Health Care : Working with the Installed Base,0.248
3. BoW,Advances in Discrete Differential Geometry,Finite Difference Computing With Pdes : a Modern Software Approach,0.132
3. BoW,Advances in Discrete Differential Geometry,Advances in Production Technology,0.079
3. BoW,Advances in Discrete Differential Geometry,Advances in Proof-Theoretic Semantics (Volume 43.0),0.067
3. BoW,Advances in Discrete Differential Geometry,Advances in Wheat Genetics: From Genome to Field: Proceedings of the 12th International Wheat Genetics Symposium,0.062
4. FastText,Advances in Discrete Differential Geometry,Cyborgs in Latin America,0.9900000095367432
4. FastText,Advances in Discrete Differential Geometry,The Golden and Ghoulish Age of the Gibbet in Britain,0.9879999756813049
4. FastText,Advances in Discrete Differential Geometry,Finance for Food : Towards New Agricultural and Rural Finance,0.9810000061988831
4. FastText,Advances in Discrete Differential Geometry,"Micro-, Meso- and Macro-Dynamics of the Brain",0.9779999852180481
4. FastText,Advances in Discrete Differential Geometry,Online Hate Speech in The European Union : a Discourse-Analytic Perspective,0.9750000238418579
5. GloVe,Advances in Discrete Differential Geometry,Stem Cells in Neuroendocrinology,1.0
5. GloVe,Advances in Discrete Differential Geometry,Housing Market Dynamics in Africa,1.0
5. GloVe,Advances in Discrete Differential Geometry,Semiotics in Mathematics Education,1.0
5. GloVe,Advances in Discrete Differential Geometry,Nicotinic Acetylcholine Receptor Signaling in Neuroprotection,1.0
5. GloVe,Advances in Discrete Differential Geometry,Transitions in Mathematics Education,1.0
6. BERT,Advances in Discrete Differential Geometry,Finite Difference Computing With Pdes : a Modern Software Approach,0.3160000145435333
6. BERT,Advances in Discrete Differential Geometry,"Early Geometrical Thinking in the Environment of Patterns, Mosaics and Isometries",0.27399998903274536
6. BERT,Advances in Discrete Differential Geometry,Finite Difference Computing with Exponential Decay Models (Volume 110.0),0.23600000143051147
6. BERT,Advances in Discrete Differential Geometry,Collider Physics Within The Standard Model : a Primer,0.21400000154972076
6. BERT,Advances in Discrete Differential Geometry,Programming for Computations - MATLAB/Octave (Volume 14.0),0.20399999618530273
1. TF-IDF + cosine,Bats in the Anthropocene : Conservation of Bats in a Changing World,Biodiversity Conservation and Phylogenetic Systematics : Preserving Our Evolutionary Heritage in An Extinction Crisis (Volume 14.0),0.122
1. TF-IDF + cosine,Bats in the Anthropocene : Conservation of Bats in a Changing World,Methods for Measuring Greenhouse Gas Balances and Evaluating Mitigation Options in Smallholder Agriculture,0.096
1. TF-IDF + cosine,Bats in the Anthropocene : Conservation of Bats in a Changing World,Managing Protected Areas in Central and Eastern Europe Under Climate Change,0.09
1. TF-IDF + cosine,Bats in the Anthropocene : Conservation of Bats in a Changing World,The Making of Islamic Heritage : Muslim Pasts and Heritage Presents,0.087
1. TF-IDF + cosine,Bats in the Anthropocene : Conservation of Bats in a Changing World,Rewilding European Landscapes,0.085
2. LSA,Bats in the Anthropocene : Conservation of Bats in a Changing World,Biodiversity Conservation and Phylogenetic Systematics : Preserving Our Evolutionary Heritage in An Extinction Crisis (Volume 14.0),0.45
